04f098446bad5fe72abdbf909287db77;Shipping
function;Goods Issue Processing;{NNP}
function;Packing Processing;{NN}{NN}
function;Delivery Processing;{NN}{NN}
function;Picking;{VBG}
event;Goods receipt/ issue slip is printed;{NNP}{NN}{:}{NN}{NN}{VBZ}{VBN}
event;Transfer order created automatically;{NN}{NN}{VBN}{RB}
event;Transfer order created manually;{NN}{NN}{VBN}{RB}
event;Inspection before goods issue is to be carried out;{NNP}{IN}{NNS}{NN}{VBZ}{TO}{VB}{VBN}{RP}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Certificate has to be created for delivery item;{NN}{VBZ}{TO}{VB}{VBN}{IN}{NN}{NN}
event;Delivery without reference is to be created;{NN}{IN}{NN}{VBZ}{TO}{VB}{VBN}
event;Delivery is to be created;{NN}{VBZ}{TO}{VB}{VBN}
event;Picking needs to be carried out;{VBG}{NNS}{TO}{VB}{VBN}{RP}
event;Material has been picked;{NN}{VBZ}{VBN}{VBN}
event;Material withdrawal is to be posted;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Delivery is created;{NN}{VBZ}{VBN}
event;Material is issued;{NN}{VBZ}{VBN}
event;Delivery is relevant for shipment;{NN}{VBZ}{JJ}{IN}{NN}
event;Shipping unit is created;{VBG}{NN}{VBZ}{VBN}
event;Shipping unit is to be created;{VBG}{NN}{VBZ}{TO}{VB}{VBN}
