098d8a6b36a4129c8f3ead9f47cf3018;LIFO valuation
function;LIFO: Group Formation: Execute;{NNP}{:}{NNP}{NN}{:}{VB}
function;LIFO: Materials Identification;{NNP}{:}{NNPS}{NN}
function;LIFO: Create Base Layer;{NNP}{:}{VB}{NN}{NN}
function;LIFO: Display: Pool Level;{NNP}{:}{VB}{:}{NNP}
function;LIFO: Display: Single Level;{NNP}{:}{VB}{:}{JJ}{NN}
function;LIFO: Group Formation: Check;{NNP}{:}{NNP}{NN}{:}{VB}
function;LIFO: Valuation: Single Level;{NNP}{:}{NN}{:}{JJ}{NN}
function;LIFO: Lowest Value Comparison;{NNP}{:}{NNP}{NN}
function;LIFO: Create Document Extract;{NNP}{:}{VB}{NNP}{NN}
function;LIFO: Valuation: Pool Level;{NNP}{:}{NN}{:}{NNP}
function;LIFO: Transfer External Data;{NNP}{:}{NN}{NNP}
function;LIFO: Group Formation: Change;{NNP}{:}{NNP}{NN}{:}{NNP}
event;LIFO pools must not be changed;{NN}{NNS}{MD}{RB}{VB}{VBN}
event;"Lowest value" comparison was carried out;{``}{JJS}{NN}{''}{NN}{VBD}{VBN}{RP}
event;LIFO pools must be formed;{NN}{NNS}{MD}{VB}{VBN}
event;Materials should be subject to LIFO valuation;{NNPS}{MD}{VB}{JJ}{TO}{NNP}{NN}
event;LIFO pools must be changed;{NN}{NNS}{MD}{VB}{VBN}
event;Materials are subject to LIFO valuation;{NNPS}{VBP}{JJ}{TO}{NNP}{NN}
event;LIFO pool valuation has been carried out;{NNP}{NN}{NN}{VBZ}{VBN}{VBN}{RP}
event;LIFO pools have been created;{NN}{NNS}{VBP}{VBN}{VBN}
event;LIFO pools have been changed;{NN}{NNS}{VBP}{VBN}{VBN}
event;LIFO single results were displayed;{NNP}{JJ}{NNS}{VBD}{VBN}
event;LIFO pool results were displayed;{NNP}{NN}{NNS}{VBD}{VBN}
event;LIFO single valuation has been carried out;{NNP}{JJ}{NN}{VBZ}{VBN}{VBN}{RP}
event;Base layers compiled;{NNP}{NNS}{VBN}
event;LIFO valuation to be based on single receipts;{NNP}{NN}{TO}{VB}{VBN}{IN}{JJ}{NNS}
event;Layers have been transferred for LIFO valuation;{NNS}{VBP}{VBN}{VBN}{IN}{NNP}{NN}
event;LIFO begins in middle of fiscal year;{NN}{VBZ}{IN}{NN}{IN}{JJ}{NN}
event;Doc. extract for LIFO has been formed;{NNP}{.}
event;LIFO pool formation must be checked;{NNP}{NN}{NN}{MD}{VB}{VBN}
