1a2a8e5018d6660f8e531690e805bc4c;Fig.70: WNMO YAWL model for MunB
function;Enter request;{VB}{NN}
function;Process continue 10;{VB}{VB}{CD}
function;Request cost estimation for modification;{NN}{NN}{NN}{IN}{NN}
function;Ask customer to come sign parking card;{VB}{NN}{TO}{VB}{NN}{NN}{NN}
function;Copy decision;{VB}{NN}
function;Get customer;{VB}{NN}
function;Make GBA extract;{VB}{NNP}{NN}
function;Receive request ISD;{VB}{NN}{NN}
function;Record request ISD;{VB}{NN}{NN}
function;Archive;{NNP}
function;Pay part of invoice;{VB}{NN}{IN}{NN}
function;Process continue 11;{VB}{VB}{CD}
function;Process continue 12;{VB}{VB}{CD}
function;Customer requests to seek bids;{NN}{NNS}{TO}{VB}{NNS}
function;Process continue 13;{VB}{VB}{CD}
function;Request a fitting;{VB}{DT}{JJ}
function;Plan examination with customer;{NNP}{NN}{IN}{NN}
function;Assign to available consultant;{VB}{TO}{JJ}{NN}
function;Process continue 6;{VB}{VB}{CD}
function;Formulate rejection letter;{VB}{NN}{NN}
function;Send invoice;{VB}{NN}
function;Send recomm;{VB}{NN}
function;Add parking card to Central Desk file;{VB}{NN}{NN}{TO}{NNP}{NN}
function;Carry out house visit;{VB}{RP}{NN}{NN}
function;Give application form;{VB}{NN}{NN}
function;Offer previous file to IPB;{NN}{JJ}{NN}{TO}{NNP}
function;Decide about the report;{VB}{IN}{DT}{NN}
function;Pay full invoice;{VB}{JJ}{NN}
function;Process continue 3;{VB}{VB}{CD}
function;Concerns disabled parking card;{NNS}{JJ}{NN}{NN}
function;Solve problems;{VB}{NNS}
function;Receive offers;{VB}{NNS}
function;Report to reception;{NNP}{TO}{NN}
function;Sign parking card or municipality;{NN}{NN}{NN}{CC}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Estimate costs;{NNP}{NNS}
function;Ask GGD for a consult;{VB}{NNP}{IN}{DT}{VBP}
function;Pass on form digital copy to Central Desk;{VB}{IN}{NN}{JJ}{NN}{TO}{NNP}
function;Obtain quotes;{VB}{NNS}
function;Compromise on the arrangement;{NN}{IN}{DT}{NN}
function;Execute order;{VB}{NN}
function;Record request;{VB}{NN}
function;Send order;{VB}{NN}
function;Determine care provider to approach;{VB}{NN}{NN}{TO}{NN}
function;Process continue 2;{VB}{VB}{CD}
function;Determine amount;{NN}{NN}
function;Archive;{NNP}
function;Process continue 10;{VB}{VB}{CD}
function;Send letter and report to customer;{VB}{NN}{CC}{NN}{TO}{NN}
function;Contact customer;{NN}{NN}
function;Process continue 5;{VB}{VB}{CD}
function;Go through app;{VB}{IN}{NN}
function;Formulate decision;{VB}{NN}
function;Prepare invalid parking card;{VB}{JJ}{NN}{NN}
function;Examine customer;{VB}{NN}
function;Send request to ISD;{VB}{NN}{TO}{NN}
function;Copy card;{VB}{NN}
function;Receive confirmation;{VB}{NN}
function;Process continue 9;{VB}{VB}{CD}
function;Send application form;{VB}{NN}{NN}
function;Perform fitting;{VB}{JJ}
function;Process continue 4;{VB}{VB}{CD}
function;Give card to customer;{VB}{NN}{TO}{NN}
function;Determine offer;{NN}{NN}
function;Start perform case specific tasks;{NNP}{VB}{NN}{JJ}{NNS}
function;Process in the system;{VB}{IN}{DT}{NN}
function;Process continue 1;{VB}{VB}{CD}
function;Receive recommendation;{VB}{NN}
function;Pass on form hard copy to Central Desk;{VB}{IN}{NN}{JJ}{NN}{TO}{NNP}
function;Compare invoice to record;{VB}{NN}{TO}{NN}
function;Assess need to consult ISD;{VB}{NN}{TO}{VB}{NNP}
function;Make preliminary decision;{VB}{JJ}{NN}
function;Process continue 7;{VB}{VB}{CD}
function;Record request in DMS;{VB}{NN}{IN}{NNP}
function;Formulate indicative report;{VB}{JJ}{NN}
function;Copy GGD report;{VB}{NN}{NN}
function;Higher than EUR 10000;{JJR}{IN}{$}{CD}
function;Need quotation;{VBN}{NN}
function;Look for alternative living space;{VB}{IN}{JJ}{NN}{NN}
function;Perform consult;{VB}{VB}
function;Get in contact about wrong charges;{VB}{IN}{NN}{IN}{JJ}{NNS}
