23ef875a0e7ba25991272d073ab75352;Fig.74: WMO YAWL model for MunF
function;Compromise on the arrangement;{NN}{IN}{DT}{NN}
function;Plan examination with customer;{NNP}{NN}{IN}{NN}
function;Enter information of decision;{VB}{NN}{IN}{NN}
function;Carry out house visit;{VB}{RP}{NN}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Start perform case specific tasks;{NNP}{VB}{NN}{JJ}{NNS}
function;Look for alternative living space;{VB}{IN}{JJ}{NN}{NN}
function;Check own contribution;{VB}{JJ}{NN}
function;Formulate advice;{VB}{NN}
function;Archive file;{NNP}{NN}
function;Assess need for house visit and medical advice;{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
function;Immediate solution;{NNP}{NN}
function;Receive signed adjudication;{VB}{VBN}{NN}
function;Receive MO advice;{VB}{NNP}{NN}
function;Request a fitting;{VB}{DT}{JJ}
function;Create summary of aggregate income;{VB}{NN}{IN}{JJ}{NN}
function;Calculate own contribution;{VB}{JJ}{NN}
function;Formulate indicative report;{VB}{JJ}{NN}
function;Handle Payment;{VB}{NN}
function;Case-specific tasks complete;{JJ}{NNS}{JJ}
function;Receive mail and send to approp dep;{VB}{NN}{CC}{VB}{TO}{VB}{NN}
function;Send order;{VB}{NN}
function;Formulate decision;{VB}{NN}
function;Check received documents;{VB}{VBN}{NNS}
function;Estimate costs;{NNP}{NNS}
function;Sign adjudication;{NN}{NN}
function;Record request;{VB}{NN}
function;Determine care provider to approach;{VB}{NN}{NN}{TO}{NN}
function;Receive data of start of care;{VB}{NNS}{IN}{NN}{IN}{NN}
function;Receive recommendation;{VB}{NN}
function;Request cost estimation for modification;{NN}{NN}{NN}{IN}{NN}
function;Determine amount;{NN}{NN}
function;Execute order;{VB}{NN}
function;Fill in app form;{VB}{IN}{NN}{NN}
function;Advice requestor;{NNP}{NN}
function;Perform fitting;{VB}{JJ}
function;Determine offer;{NN}{NN}
function;Send request for advice to MO;{VB}{NN}{IN}{NN}{TO}{NNP}
function;Begin care;{VB}{NN}
function;Examine customer;{VB}{NN}
function;Send invoice;{VB}{NN}
function;Need MO advice;{VBN}{NNP}{NN}
function;Check app form;{VB}{NN}{NN}
event;large modifications to house;{JJ}{NNS}{TO}{NN}
event;no PGB;{DT}{NN}
event;expecting more documents;{VBG}{JJR}{NNS}
event;other;{JJ}
event;always;{RB}
event;only if building advice needed;{RB}{IN}{NN}{NN}{VBD}
event;Process end;{VB}{NN}
event;Process start;{VB}{NN}
event;with PGB;{IN}{NN}
event;no house visit and no medical advice needed;{DT}{NN}{NN}{CC}{DT}{JJ}{NN}{VBN}
event;no house visit but medical advice needed;{DT}{NN}{NN}{CC}{JJ}{NN}{VBN}
event;help with the household;{NN}{IN}{DT}{NN}
event;always;{RB}
event;yes;{RB}
event;concerns care request;{NNS}{VBP}{NN}
event;no;{DT}
event;house visit needed;{NN}{NN}{VBD}
event;transportation facilities;{NN}{NNS}
event;house visit needed but no medical advice;{NN}{NN}{VBN}{CC}{DT}{JJ}{NN}
event;only if no PGB;{RB}{IN}{DT}{NN}
event;no need for MO advice;{DT}{NN}{IN}{NNP}{NN}
event;yes;{RB}
event;house visit needed and medical advice needed;{NN}{NN}{VBN}{CC}{JJ}{NN}{VBN}
event;no other documents expected;{DT}{JJ}{NNS}{VBN}
