2fe1d0ede63cfb01220e6a9995f0187d;Fig.68: WABO2 YAWL model for MunJ
function;Send procedure confirmation;{VB}{NN}{NN}
function;Check for contradictions;{VB}{IN}{NNS}
function;Receive advice;{VB}{NN}
function;Ask additional info;{VB}{JJ}{NN}
function;Sign final decision;{NN}{JJ}{NN}
function;Determine procedure period;{NN}{NN}{NN}
function;Waiting for VVGB;{VBG}{IN}{NN}
function;Check urban plan;{VB}{JJ}{NN}
function;Publish notice request;{VB}{NN}{NN}
function;Ask adjustment of request;{VB}{NN}{IN}{NN}
function;Check fire safety;{VB}{NN}{NN}
function;Check building regulation;{VB}{NN}{NN}
function;Prepare concept decision;{VB}{NN}{NN}
function;Send acknowledgement;{VB}{NN}
function;Move file to the cabinet;{VB}{NN}{TO}{DT}{NN}
function;Applicant decides to reconsider application;{NN}{VBZ}{TO}{VB}{NN}
function;Receive VVGB;{VB}{NN}
function;Process continue;{VB}{VB}
function;Send final decision;{VB}{JJ}{NN}
function;Check wealth;{VB}{NN}
function;Archive negative decision;{NNP}{JJ}{NN}
function;VVGB required;{NN}{VBD}
function;Process continue 7;{VB}{VB}{CD}
function;Publish final decision;{VB}{JJ}{NN}
function;Receive requested info;{VB}{VBN}{NN}
function;Refuse permit;{VB}{NN}
function;Process result;{VB}{NN}
function;Place file in the cabinet;{NN}{NN}{IN}{DT}{NN}
function;Process continue 4;{VB}{VB}{CD}
function;Publish negative decision;{VB}{JJ}{NN}
function;Forward to appropriate authority;{RB}{TO}{JJ}{NN}
function;Send decision;{VB}{NN}
function;Collect advice;{VB}{NN}
function;Register;{NNP}
function;Send negative decision;{VB}{JJ}{NN}
function;Right authority;{RB}{NN}
function;Process continue 3;{VB}{VB}{CD}
function;Send notice to customer;{VB}{NN}{TO}{NN}
function;Receive request via mail;{VB}{NN}{IN}{NN}
function;Check completeness;{VB}{NN}
function;Time for advice expired;{NNP}{IN}{NN}{VBD}
function;VVGB time expired;{NNP}{NN}{VBD}
function;Fill in e-form;{VB}{IN}{NN}
function;Hearing requested;{NN}{VBD}
function;Permit;{VB}
function;Archive decision;{NNP}{NN}
function;Waiting for info;{VBG}{IN}{NN}
function;Sign decision;{NN}{NN}
function;Prepare file;{VB}{NN}
function;Publish decision;{VB}{NN}
function;Archive final decision;{NNP}{JJ}{NN}
function;Ask VVGB;{VB}{NNP}
function;Informally check completeness;{RB}{VB}{NN}
function;Positive advice;{JJ}{NN}
function;Waiting for comments;{VBG}{IN}{NNS}
function;Hold hearing;{VB}{NN}
function;Process continue 1;{VB}{VB}{CD}
function;Conclude decision;{VB}{NN}
function;Time for info expired;{NNP}{IN}{NN}{VBD}
function;Process continue 5;{VB}{VB}{CD}
function;Start case;{NNP}{NN}
function;Format intention to refuse;{NN}{NN}{TO}{VB}
event;status change to Receive advice;{NN}{NN}{TO}{VB}{NN}
event;status change to Time for advice expired;{NN}{NN}{TO}{NNP}{IN}{NN}{VBD}
event;status change to Waiting for comments;{NN}{NN}{TO}{VBG}{IN}{NNS}
event;no;{DT}
event;status change to Time for info expired;{NN}{NN}{TO}{NNP}{IN}{NN}{VBD}
event;status change to Permit;{NN}{NN}{TO}{VB}
event;status change to Waiting for VVGB;{NN}{NN}{TO}{VBG}{IN}{NN}
event;status change to VVGB time expired;{NN}{NN}{TO}{NNP}{NN}{VBD}
event;status change to Check building regulation;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Check urban plan;{NN}{NN}{TO}{VB}{JJ}{NN}
event;no;{DT}
event;status change to Archive negative decision;{NN}{NN}{TO}{NNP}{JJ}{NN}
event;status change to Send negative decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;yes;{RB}
event;no;{DT}
event;status change to Start case;{NN}{NN}{TO}{NNP}{NN}
event;no;{DT}
event;status change to Format intention to refuse;{NN}{NN}{TO}{NN}{NN}{TO}{VB}
event;status change to Check fire safety;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Determine procedure period;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Applicant decides to reconsider application;{NN}{NN}{TO}{NN}{VBZ}{TO}{VB}{NN}
event;status change to Publish final decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Prepare file;{NN}{NN}{TO}{VB}{NN}
event;status change to Archive final decision;{NN}{NN}{TO}{NNP}{JJ}{NN}
event;status change to Send final decision;{NN}{NN}{TO}{VB}{JJ}{NN}
