30477a2d192fd5c2d148842aacbd4e08;Shipping
function;Packing Processing;{NN}{NN}
function;Picking (Lean WM);{VBG}{-LRB-}{VB}{NN}{-RRB-}
function;Delivery Processing;{NN}{NN}
function;Goods Issue Processing;{NNP}
event;Shipping unit is created;{VBG}{NN}{VBZ}{VBN}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Goods receipt/ issue slip is printed;{NNP}{NN}{:}{NN}{NN}{VBZ}{VBN}
event;Transfer order created manually;{NN}{NN}{VBN}{RB}
event;Transfer order created automatically;{NN}{NN}{VBN}{RB}
event;Material is issued;{NN}{VBZ}{VBN}
event;Delivery is generated in delivering company code;{NN}{VBZ}{VBN}{IN}{VBG}{NN}{NN}
event;Delivery is created;{NN}{VBZ}{VBN}
event;Picking needs to be carried out;{VBG}{NNS}{TO}{VB}{VBN}{RP}
event;Delivery is relevant for shipment;{NN}{VBZ}{JJ}{IN}{NN}
event;Shipping unit is to be created;{VBG}{NN}{VBZ}{TO}{VB}{VBN}
event;Material withdrawal is to be posted;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Material has been picked;{NN}{VBZ}{VBN}{VBN}
