30f48b43c5b1f33e9b9583155ab61cc7;Period-End Closing and Settlement
function;Overhead Calculation;{NN}{NN}
function;Account Assignment for Settlement [Investment Project];{NNP}{IN}{NNP}{-LRB-}{NNP}{-RRB-}
function;Investment Settlement [Investment Project];{NN}{NNP}{-LRB-}{NNP}{-RRB-}
function;Interest Calculation [Capital Investment Measure];{NN}{NN}{-LRB-}{NNP}{NN}{-RRB-}
function;Periodic Settlement [Investment Project];{JJ}{NNP}{-LRB-}{NNP}{-RRB-}
event;Indirect costs have not been incurred;{JJ}{NNS}{VBP}{RB}{VBN}{VBN}
event;Settlement receiver is to be determined;{NNP}{NN}{VBZ}{TO}{VB}{VBN}
event;Distrb. rules for partial settlement are entered;{NNP}{.}
event;Overhead Costs Are to Be Allocated Using Overhead Rates;{NN}{NNS}{VBP}{TO}{VB}{NNP}{VBG}{NN}{NNS}
event;Overhead debited to capital investment order;{NN}{VBN}{TO}{NN}{NN}{NN}
event;Order is closed technically;{NN}{VBZ}{VBN}{RB}
event;Distrb. rules for full settlement are entered;{NNP}{.}
event;Costs were settled as non-operating expense;{NNS}{VBD}{VBN}{IN}{JJ}{NN}
event;Measure settled partially;{NN}{VBD}{RB}
event;Determine blanket distribution rule for periodic settlement;{JJ}{NN}{NN}{NN}{IN}{JJ}{NN}
event;Costs were settled by cost element to asset under construction;{NNS}{VBD}{VBN}{IN}{NN}{NN}{TO}{NN}{IN}{NN}
event;Valuation of balances affecting financial statement to be carried out;{NN}{IN}{NNS}{VBG}{JJ}{NN}{TO}{VB}{VBN}{RP}
event;Measure is settled completely;{NN}{VBZ}{VBN}{RB}
event;Distrbution rules for periodic settlement are entered;{NNP}{NNS}{IN}{JJ}{NN}{VBP}{VBN}
event;Costs were settled with secondary cost elements to asset under construction;{NNS}{VBD}{VBN}{IN}{JJ}{NN}{NNS}{TO}{NN}{IN}{NN}
event;Interest Is Calculated;{NN}{VBZ}{VBN}
event;Interest to be posted to project;{NN}{TO}{VB}{VBN}{TO}{NN}
event;Actual costs were incurred;{JJ}{NNS}{VBD}{VBN}
