31cbd69ce27225aff8e29336868b10fd;Fig.69: WMO YAWL model for MunA
function;Send invoice;{VB}{NN}
function;Process continue 2;{VB}{VB}{CD}
function;Compare invoice to record;{VB}{NN}{TO}{NN}
function;Record request;{VB}{NN}
function;Record request ISD;{VB}{NN}{NN}
function;Process continue 4;{VB}{VB}{CD}
function;Examine customer;{VB}{NN}
function;Process continue 12;{VB}{VB}{CD}
function;Determine amount;{NN}{NN}
function;Process continue 3;{VB}{VB}{CD}
function;Give application form;{VB}{NN}{NN}
function;Perform fitting;{VB}{JJ}
function;Receive offers;{VB}{NNS}
function;Process continue 1;{VB}{VB}{CD}
function;Receive confirmation;{VB}{NN}
function;Higher than EUR 10000;{JJR}{IN}{$}{CD}
function;Fill in e-form;{VB}{IN}{NN}
function;Execute order;{VB}{NN}
function;Send order;{VB}{NN}
function;Get customer;{VB}{NN}
function;Process continue 13;{VB}{VB}{CD}
function;Decide about the report;{VB}{IN}{DT}{NN}
function;Assign to available consultant;{VB}{TO}{JJ}{NN}
function;Need quotation;{VBN}{NN}
function;Compromise on the arrangement;{NN}{IN}{DT}{NN}
function;Estimate costs;{NNP}{NNS}
function;Go through app;{VB}{IN}{NN}
function;Start case options;{NNP}{NN}{NNS}
function;Receive recommendation;{VB}{NN}
function;Formulate indicative report;{VB}{JJ}{NN}
function;Receive request ISD;{VB}{NN}{NN}
function;Case-specific tasks complete;{JJ}{NNS}{JJ}
function;Make preliminary decision;{VB}{JJ}{NN}
function;Copy decision;{VB}{NN}
function;Archive;{NNP}
function;Obtain quotes;{VB}{NNS}
function;Process continue 6;{VB}{VB}{CD}
function;Have phone conversation;{VBP}{NN}{NN}
function;Send request to ISD;{VB}{NN}{TO}{NN}
function;Look for alternative living space;{VB}{IN}{JJ}{NN}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Determine care provider to approach;{VB}{NN}{NN}{TO}{NN}
function;Get in contact about wrong charges;{VB}{IN}{NN}{IN}{JJ}{NNS}
function;Process in the system;{VB}{IN}{DT}{NN}
function;Pay full invoice;{VB}{JJ}{NN}
function;Plan examination with customer;{NNP}{NN}{IN}{NN}
