31f7cc298e78a28530c77978d62cfebb;Fig.23: GBA2 YAWL model for MunE
function;Ask customer to pay;{VB}{NN}{TO}{VB}
function;Give GBA extract;{VB}{NNP}{NN}
function;Determine whether proof of identity is present;{VB}{IN}{NN}{IN}{NN}{VBZ}{JJ}
function;Determine fees;{NN}{NNS}
function;No payment;{DT}{NN}
function;Direct to right product;{JJ}{TO}{JJ}{NN}
function;Waiting for payment;{VBG}{IN}{NN}
function;Give receipt;{VB}{NN}
function;Process payment;{VB}{NN}
function;Ask customer what product he is requesting;{VB}{NN}{WDT}{NN}{PRP}{VBZ}{VBG}
function;Give coupon;{VB}{NN}
function;Receive payment;{VB}{NN}
function;Ask identifying question;{VB}{VBG}{NN}
function;Determine if right product;{VB}{IN}{JJ}{NN}
function;Determine whether requester is entitled;{VB}{IN}{NN}{VBZ}{VBN}
function;Produce extract and sign;{VB}{NN}{CC}{NN}
function;Call coupon holder;{VB}{NN}{NN}
event;not free;{RB}{JJ}
event;ID present;{NN}{JJ}
event;wrong product;{JJ}{NN}
event;right product;{JJ}{NN}
event;No ID present;{DT}{NN}{JJ}
event;free;{JJ}
event;not entitled;{RB}{VBN}
event;Process end;{VB}{NN}
event;Start process;{NNP}{NN}
