3816a70d508d873671b4319a1bd07c07;Service Notification
function;Service Notification Creation and Processing;{NNP}{CC}{NNP}
function;Debit Memo Request Processing;{NNP}
function;Notification Archiving;{NN}{NN}
function;Entry of Technical Findings;{NN}{IN}{NNP}{NNS}
function;Notification Printing;{NN}{NN}
event;Archiving carried out;{VBG}{VBD}{RP}
event;Credit limit check is to be performed automatically;{NNP}{NN}{NN}{VBZ}{TO}{VB}{VBN}{RB}
event;Credit/ debit memo request is rejected;{NNP}{:}{NN}{NN}{NN}{VBZ}{VBN}
event;Credit/ debit memo is granted;{NNP}{:}{NN}{NN}{VBZ}{VBN}
event;Notification is to be archived;{NN}{VBZ}{TO}{VB}{VBN}
event;Shop papers are to be printed from order;{NNP}{NNS}{VBP}{TO}{VB}{VBN}{IN}{NN}
event;Measurement doc. should be created for notif.;{NN}{NN}{.}
event;Notification is printed;{NN}{VBZ}{VBN}
event;Notification is to be billed;{NN}{VBZ}{TO}{VB}{VBN}
event;Warranty is to be checked;{NN}{VBZ}{TO}{VB}{VBN}
event;Contract is created;{NN}{VBZ}{VBN}
event;Service notification download is performed;{NNP}{NN}{NN}{VBZ}{VBN}
event;Notification is completed;{NN}{VBZ}{VBN}
event;Notification and order assigned to one another;{NN}{CC}{NN}{VBN}{TO}{CD}{DT}
event;Technical findings are to be entered;{NNP}{NNS}{VBP}{TO}{VB}{VBN}
event;Completion of Hotline call;{NN}{IN}{NNP}{NN}
event;Print log is created;{VB}{NN}{VBZ}{VBN}
event;Service notification is being processed;{NNP}{NN}{VBZ}{VBG}{VBN}
event;Notification papers are to be printed;{NN}{NNS}{VBP}{TO}{VB}{VBN}
event;Technical findings are entered;{NNP}{NNS}{VBP}{VBN}
event;Service order is created in background;{NNP}{NN}{VBZ}{VBN}{IN}{NN}
event;Service requirement arose;{NNP}{NN}{VBD}
event;Shop papers are to be printed from notification;{NNP}{NNS}{VBP}{TO}{VB}{VBN}{IN}{NN}
event;Maintenance notification is assigned to the existing maintenance order;{NN}{NN}{VBZ}{VBN}{TO}{DT}{VBG}{NN}{NN}
event;Service notification data is to be processed;{NNP}{NN}{NNS}{VBZ}{TO}{VB}{VBN}
event;Service order should be created directly from service notification;{NNP}{NN}{MD}{VB}{VBN}{RB}{IN}{NN}{NN}
event;Credit limit check is to be performed manually;{NNP}{NN}{NN}{VBZ}{TO}{VB}{VBN}{RB}
