3e817b37c579365d4ae75f10be96e471;Fig.49: WABO1 YAWL model for MunA
function;Receive request;{VB}{NN}
function;Change plan;{NNP}{NN}
function;Check urban plan;{VB}{JJ}{NN}
function;Record request in system;{VB}{NN}{IN}{NN}
function;Prepare file;{VB}{NN}
function;Receive supplement;{VB}{NN}
function;Send acknowledgment;{VB}{NN}
function;Archive;{NNP}
function;Hold consultation with customer;{VB}{NN}{IN}{NN}
function;Hold meeting with customer;{VB}{NN}{IN}{NN}
function;Assign investigating officer;{VB}{VBG}{NN}
function;Check wealth;{VB}{NN}
function;Send result of consultation;{VB}{NN}{IN}{NN}
event;Start case;{NNP}{NN}
event;End case;{NNP}{NN}
event;yes;{RB}
event;no;{DT}
