44a7171c9f08096ac5c64e4321ca5b34;B.II.009_EPC for inbound logistics
function;Prepare complaint; correct data;{VB}{NN}{:}{JJ}{NNS}
function;Quality inspection;{JJ}{NN}
function;Routing to warehouse, posting;{VBG}{TO}{NN}{,}{VBG}
function;Invoice control;{NNP}{NN}
function;Order monitoring;{NNP}{NN}
function;Correct invoice;{JJ}{NN}
function;Post invoice;{NNP}{NN}
function;Generate past due notice;{VB}{IN}{JJ}{NN}
function;Stipulation of sipplier and order quantity; account codes accounts payable, general ledger account; writing of pro forma invoice;{NN}{IN}{NN}{CC}{NN}{NN}{:}{NN}{VBZ}{NNS}{JJ}{,}{JJ}{NN}{NN}{:}{NN}{IN}{FW}{FW}{NN}
function;Order writing and transmission (letter, fax, EDI);{NNP}{VBG}{CC}{NN}{-LRB-}{NN}{,}{NN}{,}{NN}{-RRB-}
function;Process purchasing requisition account coding CC, COB;{VB}{VBG}{NN}{NN}{VBG}{NN}{,}{NN}
function;Posting "receivings";{VBG}{``}{NNS}{''}
function;Update basic data;{NNP}{JJ}{NNS}
function;Supplier inquiries;{NN}{NNS}
event;Invoice posted;{NNP}{VBD}
event;Receiving data corrected;{VBG}{NNS}{VBN}
event;Purchase data provided;{NN}{NNS}{VBN}
event;invoice received;{NN}{VBD}
event;Requisition message from line department;{NN}{NN}{IN}{NN}{NN}
event;Inspection o.k.;{NNP}
event;Posting completed;{VBG}{VBN}
event;Invoice not o.k.;{NNP}{RB}{VB}
event;Schadule delivery deadline exceeded;{JJ}{NN}{NN}{VBD}
event;Inspection not o.k.;{NNP}{RB}{VB}
event;Invoice corrected;{NNP}{VBN}
event;Routing completed;{VBG}{VBN}
event;New quote necessary;{NNP}{NN}{JJ}
event;Order confirmation by supplier;{NNP}{NN}{IN}{NN}
event;Invoice o.k.;{NNP}
event;Planning deadline of net requisition calculation reached;{NNP}{NN}{IN}{JJ}{NN}{NN}{VBD}
event;Quotes up-todate;{NNS}{VBP}
event;Outsourced resources received;{JJ}{NNS}{VBD}
event;Solicited quotes received;{VBN}{NNS}{VBD}
event;basic data updated;{JJ}{NNS}{VBN}
event;Changes within net requisition in net change;{NNS}{IN}{JJ}{NN}{IN}{JJ}{NN}
