48538eb2df07168f77930147abcf4202;Fig.74: WMO YAWL model for MunF
function;Formulate indicative report;{VB}{JJ}{NN}
function;Look for alternative living space;{VB}{IN}{JJ}{NN}{NN}
function;Receive data of start of care;{VB}{NNS}{IN}{NN}{IN}{NN}
function;Determine offer;{NN}{NN}
function;Case-specific tasks complete;{JJ}{NNS}{JJ}
function;Process continue 4;{VB}{VB}{CD}
function;Determine amount;{NN}{NN}
function;Start perform case specific tasks;{NNP}{VB}{NN}{JJ}{NNS}
function;Handle Payment;{VB}{NN}
function;Begin care;{VB}{NN}
function;Receive MO advice;{VB}{NNP}{NN}
function;Record request;{VB}{NN}
function;Process continue 28;{VB}{VB}{CD}
function;Formulate decision;{VB}{NN}
function;Enter information of decision;{VB}{NN}{IN}{NN}
function;Compromise on the arrangement;{NN}{IN}{DT}{NN}
function;Carry out house visit;{VB}{RP}{NN}{NN}
function;Process continue 3;{VB}{VB}{CD}
function;Examine customer;{VB}{NN}
function;Assess need for house visit and medical advice;{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
function;Check own contribution;{VB}{JJ}{NN}
function;Check received documents;{VB}{VBN}{NNS}
function;Immediate solution;{NNP}{NN}
function;Perform fitting;{VB}{JJ}
function;Send order;{VB}{NN}
function;Calculate own contribution;{VB}{JJ}{NN}
function;Request cost estimation for modification;{NN}{NN}{NN}{IN}{NN}
function;Process continue 26;{VB}{VB}{CD}
function;Send invoice;{VB}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Execute order;{VB}{NN}
function;Determine care provider to approach;{VB}{NN}{NN}{TO}{NN}
function;Sign adjudication;{NN}{NN}
function;Receive mail and send to approp dep;{VB}{NN}{CC}{VB}{TO}{VB}{NN}
function;Estimate costs;{NNP}{NNS}
function;Process continue 27;{VB}{VB}{CD}
function;Check app form;{VB}{NN}{NN}
function;Archive file;{NNP}{NN}
function;Receive signed adjudication;{VB}{VBN}{NN}
function;Create summary of aggregate income;{VB}{NN}{IN}{JJ}{NN}
function;Process continue 6;{VB}{VB}{CD}
function;Receive recommendation;{VB}{NN}
function;Plan examination with customer;{NNP}{NN}{IN}{NN}
function;Formulate advice;{VB}{NN}
function;Process continue 13;{VB}{VB}{CD}
function;Send request for advice to MO;{VB}{NN}{IN}{NN}{TO}{NNP}
function;Request a fitting;{VB}{DT}{JJ}
function;Process continue 2;{VB}{VB}{CD}
function;Advice requestor;{NNP}{NN}
