4a78b116f408dc5f36199954a51e1923;Planning
function;Plan: Make or Buy Goods;{NN}{:}{VB}{CC}{VB}{NNP}
function;Plan External Services;{NNPS}
function;Date Planning;{VB}{NNP}
function;Cost Planning;{NN}{NNP}
function;Collaboration;{NN}
function;Structure;{NN}
function;Plan Periodic Processing;{NNP}
function;Plan Statistical Key Figures;{NNP}{NNS}
function;Revenue Planning;{NN}{NNP}
function;Budgeting;{NNP}
function;Plan Cash Flow;{NNP}{NN}
function;Plan Capacities;{NN}{NNS}
event;Cross-project scheduling required;{JJ}{NN}{VBN}
event;Service activities are planned;{NNP}{NNS}{VBP}{VBN}
event;Collaborative object processing required;{JJ}{NN}{NN}{VBN}
event;Cash flow planning required;{NN}{NN}{NN}{VBN}
event;Planned interest calculation carried out;{NNP}{NN}{NN}{VBD}{RP}
event;Revenue planned;{NN}{VBD}
event;Date planning is performed;{NN}{NN}{VBZ}{VBN}
event;Statistical key figures to be planned;{JJ}{JJ}{NNS}{TO}{VB}{VBN}
event;Collaborative object processing is complete;{JJ}{NN}{NN}{VBZ}{JJ}
event;Cash flow analyzed;{NN}{NN}{VBN}
event;Quotation must be created on basis of plan data;{NN}{MD}{VB}{VBN}{IN}{NN}{IN}{NN}{NNS}
event;External activities are planned;{JJ}{NNS}{VBP}{VBN}
event;Material assignment to activities required;{NN}{NN}{TO}{NNS}{VBN}
event;Internal project approved;{JJ}{NN}{VBN}
event;Easy Cost Planning required;{NNP}{NN}{NNP}{VBD}
event;Dates must be planned for WBS elements;{NNS}{MD}{VB}{VBN}{IN}{JJ}{NNS}
event;Statistical key figures planned;{JJ}{JJ}{NNS}{VBD}
event;Planned settlement carried out;{NNP}{NN}{VBD}{RP}
event;Sales order processing required;{NNS}{NN}{NN}{VBN}
event;Workforce Planning Carried Out;{NN}{NNP}{VBD}{IN}
event;Planned Order Created Automatically;{NNP}{VBN}{RB}
event;Project is to be released;{NN}{VBZ}{TO}{VB}{VBN}
event;Costs planned;{NNS}{VBD}
event;Internal activity/ work planning required;{JJ}{NN}{:}{NN}{NN}{VBN}
event;Cost planning data exists for planned interest calculation;{NN}{NN}{NNS}{VBZ}{IN}{JJ}{NN}{NN}
event;Budget to be released;{NNP}{TO}{VB}{VBN}
event;Activities carried out by other firms must be planned;{NNS}{VBD}{RP}{IN}{JJ}{NNS}{MD}{VB}{VBN}
event;Service planning required;{NNP}{NN}{VBN}
event;Periodic repostign carried out;{JJ}{NN}{VBD}{RP}
event;Customer project required;{NN}{NN}{VBN}
event;Manual revenue planning required;{JJ}{NN}{NN}{VBN}
event;Revenue planning using billing plan required;{NN}{NN}{VBG}{NN}{NN}{VBN}
event;Capacity leveling is performed;{NN}{NN}{VBZ}{VBN}
event;Periodic allocations executed;{JJ}{NNS}{VBN}
event;Cost planning using existing price/quantity structure required;{NN}{NN}{VBG}{VBG}{NN}{NN}{VBN}
event;Periodic transfer required;{JJ}{NN}{VBN}
event;Cost planning in WBS required;{NN}{NN}{IN}{NNP}{VBD}
event;Project/ subproject with activities requires scheduling;{NN}{:}{NN}{IN}{NNS}{VBZ}{NN}
event;Cash Flow Planned;{NN}{NN}{NNP}
event;Project planning for customer quotation processing required;{NN}{NN}{IN}{NN}{NN}{NN}{VBN}
