4bbf24376e20841ca01d0ee2b6c6be91;Fig.83: WOZ YAWL model for MunE
function;Send to tax office;{VB}{TO}{NN}{NN}
function;Fill in form;{VB}{IN}{NN}
function;Register;{NNP}
function;Record value on side;{NNP}{NN}{IN}{NN}
function;Handle administrative;{VB}{JJ}
function;Receive phone call;{VB}{NN}{NN}
function;Send response about admissibility;{VB}{NN}{IN}{NN}
function;Complaint valid;{NN}{JJ}
function;Record findings;{VB}{NNS}
function;Perform admissibility test;{VB}{NN}{NN}
function;Send application;{VB}{NN}
function;Sign form;{NN}{NN}
function;Hearing requested;{NN}{VBD}
function;Send acknowledgment;{VB}{NN}
function;Process eventual changes;{VB}{JJ}{NNS}
function;Create file;{VB}{NN}
function;Ask tax office advice;{VB}{NN}{NN}{NN}
function;Handle complaint municipality;{VB}{NN}{NN}
function;House visit wanted;{NNP}{NN}{VBD}
function;Record objection;{VB}{NN}
function;Handle on side;{VB}{IN}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Default positive response;{NNP}{JJ}{NN}
function;Hold hearing;{VB}{NN}
function;Fast procedure still needed;{JJ}{NN}{RB}{VBN}
function;Perform admissibility test municipality;{VB}{NN}{NN}{NN}
function;Send advice;{VB}{NN}
function;Possible to do assessment;{JJ}{TO}{VB}{NN}
function;Start WOZ process;{NNP}{NN}
function;Print to digital form;{VB}{TO}{JJ}{NN}
function;Contact customer;{NN}{NN}
function;Resolve complaint;{VB}{NN}
function;Send notification letter;{VB}{NN}{NN}
function;Perform conversation;{VB}{NN}
function;Customer wants to give up complaint;{NN}{VBZ}{TO}{VB}{RP}{NN}
function;Make appointment;{VB}{NN}
function;Adjust value;{VB}{NN}
event;yes;{RB}
event;no;{DT}
event;yes;{RB}
event;Process start;{VB}{NN}
event;Deadline;{NN}
event;Timeout;{NNP}
event;yes;{RB}
event;yes;{RB}
event;no;{DT}
event;flash WOZ process;{NN}{NN}{NN}
event;yes;{RB}
event;yes;{RB}
event;no;{DT}
event;Process end;{VB}{NN}
event;no;{DT}
event;normal WOZ process;{JJ}{NN}{NN}
event;no;{DT}
event;no;{DT}
event;yes;{RB}
event;no;{DT}
