520a713bc704d1f242b676faa99001e9;Notification
function;Notification Printing;{NN}{NN}
function;Notification Creation/ Processing;{NN}{NN}{:}{NN}
event;Maintenance order is created automatically for maintenance notification;{NN}{NN}{VBZ}{VBN}{RB}{IN}{NN}{NN}
event;Measurement doc. should be created for notif.;{NN}{NN}{.}
event;Maintenance notification is in process;{NN}{NN}{VBZ}{IN}{NN}
event;Shop papers are to be printed from notification;{NNP}{NNS}{VBP}{TO}{VB}{VBN}{IN}{NN}
event;Maintenance tasks are to be processed;{NN}{NNS}{VBP}{TO}{VB}{VBN}
event;Notification is printed;{NN}{VBZ}{VBN}
event;Notification papers are to be printed;{NN}{NNS}{VBP}{TO}{VB}{VBN}
event;Notification is to be processed by planner group;{NN}{VBZ}{TO}{VB}{VBN}{IN}{NN}{NN}
event;Maintenance requirement has arisen;{NN}{NN}{VBZ}{VBN}
event;Shop papers are to be printed from order;{NNP}{NNS}{VBP}{TO}{VB}{VBN}{IN}{NN}
event;Maintenance notification is to be generated from maintenance order;{NN}{NN}{VBZ}{TO}{VB}{VBN}{IN}{NN}{NN}
event;Print log is created;{VB}{NN}{VBZ}{VBN}
event;Notification and order assigned to one another;{NN}{CC}{NN}{VBN}{TO}{CD}{DT}
event;Order type supports automatic generation of a notification;{NNP}{NN}{VBZ}{JJ}{NN}{IN}{DT}{NN}
event;Task is completed;{NNP}{VBZ}{VBN}
event;Maintenance order to be created directly from maintenance notification;{NN}{NN}{TO}{VB}{VBN}{RB}{IN}{NN}{NN}
