58e77dce832d958cc80ff4f545cf9aa3;Fig.82: WOZ YAWL model for MunD
function;Send acknowledgment;{VB}{NN}
function;Default positive response;{NNP}{JJ}{NN}
function;Fill in form;{VB}{IN}{NN}
function;Return file with advice;{NN}{NN}{IN}{NN}
function;Process continue 1;{VB}{VB}{CD}
function;Receive application via mail;{VB}{NN}{IN}{NN}
function;Conduct visit or research;{NNP}{NN}{CC}{NN}
function;Timeout;{NNP}
function;Send file to tax office;{VB}{NN}{TO}{NN}{NN}
function;Routine complaint;{JJ}{NN}
function;Send notification letter;{VB}{NN}{NN}
function;Possible to do assessment;{JJ}{TO}{VB}{NN}
function;Handle administrative;{VB}{JJ}
function;Hearing requested;{NN}{VBD}
function;Handle complaint;{VB}{NN}
function;Process eventual changes;{VB}{JJ}{NNS}
function;Perform admissibility test municipality;{VB}{NN}{NN}{NN}
function;Register;{NNP}
function;Sign form;{NN}{NN}
function;Send to tax office;{VB}{TO}{NN}{NN}
function;Send response about admissibility;{VB}{NN}{IN}{NN}
function;Process continue 2;{VB}{VB}{CD}
function;Record objection;{VB}{NN}
function;Create file;{VB}{NN}
function;Perform admissibility test;{VB}{NN}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Hold hearing;{VB}{NN}
event;status change to Handle administrative;{NN}{NN}{TO}{VB}{JJ}
event;status change to Create file;{NN}{NN}{TO}{VB}{NN}
event;status change to Handle complaint;{NN}{NN}{TO}{VB}{NN}
event;status change to Record objection;{NN}{NN}{TO}{NNP}{NN}
event;status change to Send acknowledgment;{NN}{NN}{TO}{VB}{NN}
event;the end;{DT}{NN}
event;status change to Possible to do assessment;{NN}{NN}{TO}{JJ}{TO}{VB}{NN}
event;status change to Routine complaint;{NN}{NN}{TO}{JJ}{NN}
event;status change to Default positive response;{NN}{NN}{TO}{NNP}{JJ}{NN}
event;no;{DT}
event;yes;{RB}
event;status change to Sign form;{NN}{NN}{TO}{VB}{NN}
event;no;{DT}
event;status change to Receive application via mail;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;status change to Return file with advice;{NN}{NN}{TO}{NN}{NN}{IN}{NN}
event;status change to Hearing requested;{NN}{NN}{TO}{NN}{VBD}
event;status change to Send file to tax office;{NN}{NN}{TO}{VB}{NN}{TO}{NN}{NN}
event;status change to Process eventual changes;{NN}{NN}{TO}{VB}{JJ}{NNS}
event;yes;{RB}
event;status change to Register;{NN}{NN}{TO}{NNP}
event;status change to Send response about admissibility;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;status change to Fill in form;{NN}{NN}{TO}{VB}{IN}{NN}
event;status change to Send decision to customer;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
event;yes;{RB}
event;status change to Timeout;{NN}{NN}{TO}{NNP}
event;status change to Perform admissibility test;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Send notification letter;{NN}{NN}{TO}{VB}{NN}{NN}
event;no;{DT}
