5e97d92e13784ff6d99ade7e0d6ee300;Fig.50: WABO1 YAWL model for MunB
function;Send results of consultation;{VB}{NNS}{IN}{NN}
function;Process documents;{VB}{NNS}
function;Fill in e-form;{VB}{IN}{NN}
function;Record request in system;{VB}{NN}{IN}{NN}
function;Register;{NNP}
function;Start case;{NNP}{NN}
function;Check wealth;{VB}{NN}
function;Send acknowledgment;{VB}{NN}
function;Check urban plan;{VB}{JJ}{NN}
function;Receive request via mail;{VB}{NN}{IN}{NN}
function;Test admissibility;{NN}{NN}
event;status change to Receive request via mail;{NN}{NN}{TO}{VB}{NN}{IN}{NN}
event;status change to Test admissibility;{NN}{NN}{TO}{VB}{NN}
event;status change to Record request in system;{NN}{NN}{TO}{NNP}{NN}{IN}{NN}
event;status change to Check urban plan;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Register;{NN}{NN}{TO}{NNP}
event;status change to Send results of consultation;{NN}{NN}{TO}{VB}{NNS}{IN}{NN}
event;status change to Send acknowledgment;{NN}{NN}{TO}{VB}{NN}
event;the end;{DT}{NN}
event;status change to Check wealth;{NN}{NN}{TO}{VB}{NN}
event;Start case;{NNP}{NN}
event;status change to Process documents;{NN}{NN}{TO}{VB}{NNS}
event;status change to Fill in e-form;{NN}{NN}{TO}{VB}{IN}{NN}
