61ed9f60a681c210f750619e92a31c05;Planning Staff Assignment and Changes
function;Personnel Change Planning;{NNP}
function;Monitoring of Personnel Staff and Change Planning;{NN}{IN}{NNP}{CC}{NNP}
function;Personnel Staff Planning;{NNP}
function;Design and Implementation of Provisions for Staff and Change Planning;{NN}{CC}{NN}{IN}{NNS}{IN}{NN}{CC}{NNP}
event;Need for personnel staff planning exists;{VBN}{IN}{NNS}{NN}{NN}{VBZ}
event;Further implementation actions must be performed;{JJ}{NN}{NNS}{MD}{VB}{VBN}
event;Need for monitoring of change planning exists;{VBN}{IN}{NN}{IN}{NN}{NN}{VBZ}
event;Provisions of staff/ change planning must be corrected;{NNS}{IN}{NN}{:}{NN}{NN}{MD}{VB}{VBN}
event;Provisions of personnel staff planning are implemented;{NNS}{IN}{NNS}{NN}{NN}{VBP}{VBN}
event;Need for monitoring of staff planning exists;{VBN}{IN}{NN}{IN}{NN}{NN}{VBZ}
event;Department and assigned employee exist;{NNP}{CC}{VBN}{NN}{VBP}
event;Personnel staff plan must be corrected;{NNP}{NN}{NN}{MD}{VB}{VBN}
event;Position exists;{NN}{VBZ}
event;Need for monitoring of career planning exists;{VBN}{IN}{NN}{IN}{NN}{NN}{VBZ}
event;Personnel staff plan exists;{NNP}{NN}{NN}{VBZ}
event;Need for personnel change planning exists;{VBN}{IN}{NNS}{VBP}{VBG}{VBZ}
event;Need for recruitment exists;{VBN}{IN}{NN}{VBZ}
event;Need for individual personnel development planning exists;{VBN}{IN}{JJ}{NNS}{NN}{NN}{VBZ}
event;Need for downsizing exists;{VBN}{IN}{VBG}{VBZ}
event;Personnel change plan must be corrected;{NNP}{NN}{NN}{MD}{VB}{VBN}
event;Need for employee notification of task area exists;{VBN}{IN}{NN}{NN}{IN}{NN}{NN}{VBZ}
event;Need for position formation exists;{VBN}{IN}{NN}{NN}{VBZ}
event;Need for personnel assignment exists;{VBN}{IN}{NNS}{NN}{VBZ}
event;Provisions of personnel change planning are implemented;{NNS}{IN}{NNS}{VBP}{NN}{VBP}{VBN}
event;Need for provisions for staff/ change planning exists;{VBN}{IN}{NNS}{IN}{NN}{:}{NN}{NN}{VBZ}
