640b227c0d86bd0e168874f158f5b723;Material Requirements Planning
function;Material Requirements Planning - Evaluation;{NN}{NNS}{NNP}{:}{NN}
function;Overall Material Requirements Planning;{JJ}{NNP}{NNS}{NNP}
function;Material Requirements Planning - Individual;{NN}{NNS}{NNP}{:}{NN}
event;Planning results or stock/ reqmts situation is processed;{NNP}{VBZ}{CC}{NN}{:}{NNS}{NN}{VBZ}{VBN}
event;Demand Program Created;{NN}{NN}{VBN}
event;Planned Order Created Automatically;{NNP}{VBN}{RB}
event;Dependent Requirement Created;{JJ}{NN}{VBN}
event;Stock/ requirements list to be processed;{NNP}{:}{NNS}{NN}{TO}{VB}{VBN}
event;MRP list is created;{NN}{NN}{VBZ}{VBN}
event;Purchase Requisition Created;{NN}{NN}{VBN}
