6cfb2ffedef66a20d126a11cdbdafec1;Quality Inspection for Delivery and Return Delivery
function;Usage Decision;{NN}{NN}
function;Defects Recording;{NNS}{NNP}
function;Results Recording;{NNS}{NNP}
function;Inspection Lot Creation;{NNP}{NN}{NN}
event;Inspect (independent of goods issue);{VB}{-LRB-}{JJ}{IN}{NNS}{NN}{-RRB-}
event;QMIS updated;{NNS}{VBN}
event;Enter defects from the operation;{VB}{NNS}{IN}{DT}{NN}
event;Inspection lot is to be created manually;{NNP}{NN}{VBZ}{TO}{VB}{VBN}{RB}
event;Internal Activity Should Be Allocated Internally;{JJ}{NN}{MD}{VB}{NNP}{RB}
event;Quality notification is activated from defects;{JJ}{NN}{VBZ}{VBN}{IN}{NNS}
event;Inspection lot completion is triggered using QM-IDI;{NNP}{NN}{NN}{VBZ}{VBN}{VBG}{NN}
event;Inspection completion is to be forced;{NNP}{NN}{VBZ}{TO}{VB}{VBN}
event;Inspection completion is carried out;{NNP}{NN}{VBZ}{VBN}{RP}
event;Defect is recorded;{NN}{VBZ}{VBN}
event;Results for operation must be recorded;{NNS}{IN}{NN}{MD}{VB}{VBN}
event;Inspection results are copied to general characteristics;{NNP}{NNS}{VBP}{VBN}{TO}{JJ}{NNS}
event;Goods Receipt Posted;{NNP}{VBD}
event;Enter defects from the operation;{VB}{NNS}{IN}{DT}{NN}
event;Enter characteristic defects;{VB}{JJ}{NNS}
event;All characteristics are closed;{DT}{NNS}{VBP}{VBN}
event;Quality level is updated;{JJ}{NN}{VBZ}{VBN}
event;Inspection before goods issue is to be carried out;{NNP}{IN}{NNS}{NN}{VBZ}{TO}{VB}{VBN}{RP}
event;Enter defects from the inspection lot;{VB}{NNS}{IN}{DT}{NN}{NN}
event;Enter characteristic defects;{VB}{JJ}{NNS}
event;Inspection lot completion for skip is to be made;{NNP}{NN}{NN}{IN}{VB}{VBZ}{TO}{VB}{VBN}
event;Data is updated;{NNS}{VBZ}{VBN}
event;Usage decision is documented;{NN}{NN}{VBZ}{VBN}
event;Inspection lot status allows a goods issue;{NNP}{NN}{NN}{VBZ}{DT}{NNS}{NN}
event;QMIS updated;{NNS}{VBN}
event;Enter defects from the inspection lot;{VB}{NNS}{IN}{DT}{NN}{NN}
event;Results for the sample are to be recorded;{NNS}{IN}{DT}{NN}{VBP}{TO}{VB}{VBN}
event;Customer requires certificate;{NN}{VBZ}{NN}
