6db34af328490c14e408941c60d3dd5c;Repairs Processing at Customer (Field Service)
function;Maintenance Planning;{NNP}
function;Service Order;{NNP}
function;Goods Movements;{NNP}{NNS}
function;Risk/ Credit Management;{NN}{:}{NNP}
function;Settlement and Completion;{NNP}{CC}{NNP}
function;Service Product Order;{NNP}
function;Billing;{NN}
function;Delivery and Transportation;{NN}{CC}{NN}
function;Service Notification;{NNP}
function;Warehouse Management;{NNP}
function;Completion Confirmation;{NNP}{NN}
event;Purchase requisition without source of supply created;{NN}{NN}{IN}{NN}{IN}{NN}{VBN}
event;Document blocked due to legal control;{NNP}{VBD}{JJ}{TO}{JJ}{NN}
event;Declarations transmitted;{NNS}{VBD}
event;Archiving carried out;{VBG}{VBD}{RP}
event;Service order to be created from sales order item;{NNP}{NN}{TO}{VB}{VBN}{IN}{NNS}{NN}{NN}
event;Maintenance plan released triggered;{NN}{NN}{VBN}{VBD}
event;Service is accepted;{NNP}{VBZ}{VBN}
event;Material withdrawal is to be posted;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Terms of credit have changed;{NNS}{IN}{NN}{VBP}{VBN}
event;Completion confirmations of time to be created using time sheet;{NN}{NNS}{IN}{NN}{TO}{VB}{VBN}{VBG}{NN}{NN}
event;Quotation items are rejected;{NN}{NNS}{VBP}{VBN}
event;Order Should Be Technically Completed;{NNP}{MD}{VB}{NNP}
event;Maintenance order is confirmed completely;{NN}{NN}{VBZ}{VBN}{RB}
event;Default values for service product are maintained;{NNP}{NNS}{IN}{NN}{NN}{VBP}{VBN}
event;Open material reservations are deleted;{VB}{NN}{NNS}{VBP}{VBN}
event;Service order is created in background;{NNP}{NN}{VBZ}{VBN}{IN}{NN}
event;Maintenance order is printed;{NN}{NN}{VBZ}{VBN}
event;Customer release order received;{NN}{NN}{NN}{VBD}
event;Capacity load is updated;{NN}{NN}{VBZ}{VBN}
event;Order generated and delivery opened;{NNP}{VBD}{CC}{NN}{VBD}
event;Service entry sheet to be created for each maintenance item;{NNP}{NN}{NN}{TO}{VB}{VBN}{IN}{DT}{NN}{NN}
event;Quotation is monitored;{NN}{VBZ}{VBN}
event;Material reservation can be withdrawn;{NN}{NN}{MD}{VB}{VBN}
event;Operations and Order Must Be Confirmed;{NNP}{CC}{NNP}{MD}{VB}{VBN}
event;Difference is settled on srce bin location;{NN}{VBZ}{VBN}{IN}{NN}{NN}{NN}
event;Material is issued;{NN}{VBZ}{VBN}
event;Generate sales order-related billing document;{VB}{NNS}{JJ}{NN}{NN}
event;Services are to be entered;{NNPS}{VBP}{TO}{VB}{VBN}
event;Material is not available;{NN}{VBZ}{RB}{JJ}
event;Maintenance call waits;{NN}{NN}{VBZ}
event;Service order to be created for service notification;{NNP}{NN}{TO}{VB}{VBN}{IN}{NN}{NN}
event;Maintenance order is partially confirmed;{NN}{NN}{VBZ}{RB}{VBN}
event;Contract is valid;{NN}{VBZ}{JJ}
event;Technical findings are entered;{NNP}{NNS}{VBP}{VBN}
event;Technical findings are entered;{NNP}{NNS}{VBP}{VBN}
event;Service order should be created per maint. item;{NNP}{NN}{MD}{VB}{VBN}{IN}{NN}{.}
event;Transfer order item is confirmed;{NN}{NN}{NN}{VBZ}{VBN}
event;Material is removed from stock;{NN}{VBZ}{VBN}{IN}{NN}
event;Change to terms of credit refused;{NNP}{TO}{NNS}{IN}{NN}{VBD}
event;Service order should be created manually;{NNP}{NN}{MD}{VB}{VBN}{RB}
event;Delivery is relevant for billing;{NN}{VBZ}{JJ}{IN}{NN}
event;Credit limit check is to be performed manually;{NNP}{NN}{NN}{VBZ}{TO}{VB}{VBN}{RB}
event;Schedule counter reading mtce plan;{VB}{RB}{VBG}{NN}{NN}
event;Maintenance plan calls are processed;{NN}{NN}{NNS}{VBP}{VBN}
event;Contract is created;{NN}{VBZ}{VBN}
event;Bil. doc. is released for billing;{NNP}{.}
event;Delivery is to be created;{NN}{VBZ}{TO}{VB}{VBN}
event;Maintenance Costs Determined;{NNP}{NNS}{VBN}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Billing document is monitored;{NN}{NN}{VBZ}{VBN}
event;Archiving carried out;{VBG}{VBD}{RP}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Credit limit check is to be performed automatically;{NNP}{NN}{NN}{VBZ}{TO}{VB}{VBN}{RB}
event;Maintenance plan to be scheduled according to maintenance strategy;{NN}{NN}{TO}{VB}{VBN}{VBG}{TO}{NN}{NN}
event;Service product exists;{NNP}{NN}{VBZ}
event;Actual costs are updated to maintenance order;{JJ}{NNS}{VBP}{VBN}{TO}{NN}{NN}
event;Individual operations are confirmed;{JJ}{NNS}{VBP}{VBN}
event;Inventory management posting already carried out;{NN}{NN}{VBG}{RB}{VBN}{RP}
event;Retrograde withdrawal to be posted;{NNP}{NN}{TO}{VB}{VBN}
event;Maintenance order is completed with time reference;{NN}{NN}{VBZ}{VBN}{IN}{NN}{NN}
event;Maintenance plan is created;{NN}{NN}{VBZ}{VBN}
event;Legal control data is processed;{JJ}{NN}{NNS}{VBZ}{VBN}
event;Sales and Distribution Document Must Be Created for Service Notification;{NNS}{CC}{NN}{NNP}{MD}{VB}{VBN}{IN}{NNP}
event;Goods issue blocked for export;{NNP}{NN}{VBD}{IN}{NN}
event;Maintenance plan is to be scheduled manually;{NN}{NN}{VBZ}{TO}{VB}{VBN}{RB}
event;Capacity requirement records are deleted;{NN}{NN}{NNS}{VBP}{VBN}
event;Difference has been posted to interface;{NN}{VBZ}{VBN}{VBN}{TO}{NN}
event;Service notification data is to be processed;{NNP}{NN}{NNS}{VBZ}{TO}{VB}{VBN}
event;Measurement doc. should be created for notif.;{NN}{NN}{.}
event;Notification is printed;{NN}{VBZ}{VBN}
event;Contract is created;{NN}{VBZ}{VBN}
event;Maintenance plan is to be scheduled automatically;{NN}{NN}{VBZ}{TO}{VB}{VBN}{RB}
event;Open purchase requisitions for non-stock material are deleted;{VB}{NN}{NNS}{IN}{JJ}{NN}{VBP}{VBN}
event;Service requirement arose;{NNP}{NN}{VBD}
event;Working hours data was analyzed;{VBG}{NNS}{NNS}{VBD}{VBN}
event;Goods movement is posted;{NNP}{NN}{VBZ}{VBN}
