76b6194be052a6dfdcacdcd7c1b69616;Fig.61: WABO2 YAWL model MunC
function;Ask for advice;{VB}{IN}{NN}
function;Prepare advice report;{VB}{NN}{NN}
function;Hearing requested;{NN}{VBD}
function;Contact customer;{NN}{NN}
function;Check urban plan;{VB}{JJ}{NN}
function;Informally check completeness;{RB}{VB}{NN}
function;Conclude decision;{VB}{NN}
function;Check fire safety;{VB}{NN}{NN}
function;VVGB required;{NN}{VBD}
function;Publish negative decision;{VB}{JJ}{NN}
function;Send procedure confirmation;{VB}{NN}{NN}
function;Forward to appropriate authority;{RB}{TO}{JJ}{NN}
function;Waiting for comments;{VBG}{IN}{NNS}
function;Sign decision;{NN}{NN}
function;Check building regulation;{VB}{NN}{NN}
function;Hold hearing;{VB}{NN}
function;Negative advice;{JJ}{NN}
function;Send final decision;{VB}{JJ}{NN}
function;Right authority;{RB}{NN}
function;Archive decision;{NNP}{NN}
function;Ask VVGB;{VB}{NNP}
function;Assign investigating officer;{VB}{VBG}{NN}
function;Sign final decision;{NN}{JJ}{NN}
function;Prepare concept decision;{VB}{NN}{NN}
function;Register;{NNP}
function;Test admissibility;{NN}{NN}
function;Inform customer;{VB}{NN}
function;Determine procedure period;{NN}{NN}{NN}
function;Publish final decision;{VB}{JJ}{NN}
function;Collect advice;{VB}{NN}
function;Applicant decides to reconsider application;{NN}{VBZ}{TO}{VB}{NN}
function;Ask additional info;{VB}{JJ}{NN}
function;VVGB result;{NN}{NN}
function;Check wealth;{VB}{NN}
function;Send negative decision;{VB}{JJ}{NN}
function;Process result;{VB}{NN}
function;Waiting for VVGB;{VBG}{IN}{NN}
function;Ask adjustment of request;{VB}{NN}{IN}{NN}
function;Receive request via mail;{VB}{NN}{IN}{NN}
function;Test adm fire department;{NN}{NN}{NN}{NN}
function;Test adm architecture advisor;{NN}{NN}{NN}{NN}
function;Waiting for info;{VBG}{IN}{NN}
function;Archive negative decision;{NNP}{JJ}{NN}
function;Send acknowledgement;{VB}{NN}
function;Record request in system;{VB}{NN}{IN}{NN}
function;Publish notice request;{VB}{NN}{NN}
function;Check completeness;{VB}{NN}
function;Format intention to refuse;{NN}{NN}{TO}{VB}
function;Test adm urban planning;{NN}{NN}{JJ}{NN}
function;Archive final decision;{NNP}{JJ}{NN}
function;Test adm wealth;{NN}{NN}{NN}
function;Publish decision;{VB}{NN}
function;Fill in e-form;{VB}{IN}{NN}
function;Positive advice;{JJ}{NN}
function;Refuse permit;{VB}{NN}
event;Receive advice;{VB}{NN}
event;Time for info expired;{NNP}{IN}{NN}{VBD}
event;Receive VVGB;{VB}{NN}
event;not complete;{RB}{VB}
event;yes;{RB}
event;no;{DT}
event;no;{DT}
event;yes;{RB}
event;Time for advice expired;{NNP}{IN}{NN}{VBD}
event;no;{DT}
event;no;{DT}
event;yes;{RB}
event;VVGB time expired;{NNP}{NN}{VBD}
event;yes;{RB}
event;no;{DT}
event;End case;{NNP}{NN}
event;yes;{RB}
event;Receive requested info;{VB}{VBN}{NN}
event;complete;{JJ}
event;Start case;{NNP}{NN}
