7c4f56ed4cf896e7e684348a13480d80;Accounting
function;Perform Posting;{VB}{VBG}
function;Posting Release;{VBG}{NNP}
function;Process Payment Request;{VB}{NN}{NN}
event;Transaction was posted;{NN}{VBD}{VBN}
event;Netting proposal was accepted;{VBG}{NN}{VBD}{VBN}
event;G/L posting was generated;{NN}{VBG}{VBD}{VBN}
event;Flows were released for posting;{NNS}{VBD}{VBN}{IN}{VBG}
event;Payment request was generated;{NN}{NN}{VBD}{VBN}
event;Accrual/ deferral flows were generated;{NN}{:}{NN}{NNS}{VBD}{VBN}
event;Customer open items were generated;{NN}{JJ}{NNS}{VBD}{VBN}
event;Payment advice is sent;{NN}{NN}{VBZ}{VBN}
event;Payment medium transferred;{NN}{NN}{VBN}
event;Valuation flows were generated;{NN}{NNS}{VBD}{VBN}
event;Flows from realized gains/ losses were generated;{NNS}{IN}{VBN}{NNS}{:}{NNS}{VBD}{VBN}
event;Payment is transferred by EDI;{NN}{VBZ}{VBN}{IN}{NN}
