7e1bb48fbd687cec318cdcbb4852ded5;Billing
function;Processing Billing Documents;{NNP}{NNS}
function;Billing document cancellation;{NN}{NN}{NN}
function;Invoice List Processing;{NNP}{NN}{NN}
function;Pro Forma Invoice Processing;{FW}{FW}{FW}{NN}
event;Pro forma invoice for order/ delivery to be created;{FW}{FW}{NN}{IN}{NN}{:}{NN}{TO}{VB}{VBN}
event;Invoice list date has arrived;{NNP}{NN}{NN}{VBZ}{VBN}
event;Pro forma invoice is created;{FW}{FW}{NN}{VBZ}{VBN}
event;Billing document/ items are cancelled;{NN}{NN}{:}{NNS}{VBP}{VBN}
event;Invoice list is created;{NNP}{NN}{VBZ}{VBN}
event;Customer invoice is posted;{NN}{NN}{VBZ}{VBN}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Delivery is relevant for billing;{NN}{VBZ}{JJ}{IN}{NN}
event;Billing document to be cancelled;{NN}{NN}{TO}{VB}{VBN}
event;Bil. doc. is released for billing;{NNP}{.}
