7fc695e57fe761ca1a94adeb6bf07b49;Transaction Processing for Standard Currency Options
function;Expiration of Currency Option;{NN}{IN}{NNP}{NN}
function;Exercise Currency Option;{NN}{NN}{NN}
function;Settlement;{NNP}
function;Terminate Currency Option;{VB}{NNP}{NN}
function;Process Standard Currency Options;{VB}{NNPS}
function;Netting Processing;{VBG}{NN}
event;Netting proposal was accepted;{VBG}{NN}{VBD}{VBN}
event;Standard currency option was chosen;{JJ}{NN}{NN}{VBD}{VBN}
event;Termination flows generate settlement payments;{NN}{VBZ}{VB}{NN}{NNS}
event;Currency option has expired;{NN}{NN}{VBZ}{VBN}
event;Structure characteristics were edited;{NN}{NNS}{VBD}{VBN}
event;Currency option is not to be exercised;{NN}{NN}{VBZ}{RB}{TO}{VB}{VBN}
event;Currency option was exercised physically;{NN}{NN}{VBD}{VBN}{RB}
event;Currency option is to be exercised;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Currency option is to be terminated;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Key date valuation to be carried out;{NN}{NN}{NN}{TO}{VB}{VBN}{RP}
event;Currency option was exercised with cash settlement;{NN}{NN}{VBD}{VBN}{IN}{NN}{NN}
event;Currency option was terminated;{NN}{NN}{VBD}{VBN}
event;Netting proposal to be edited;{VBG}{NN}{TO}{VB}{VBN}
