80a29b1c3bbe06c638ec68816328c8f9;Fig.61: WABO2 YAWL model MunC
function;Prepare advice report;{VB}{NN}{NN}
function;Test adm fire department;{NN}{NN}{NN}{NN}
function;Conclude decision;{VB}{NN}
function;Receive advice;{VB}{NN}
function;Process continue 3;{VB}{VB}{CD}
function;Waiting for VVGB;{VBG}{IN}{NN}
function;Waiting for comments;{VBG}{IN}{NNS}
function;Assign investigating officer;{VB}{VBG}{NN}
function;Send acknowledgement;{VB}{NN}
function;Archive decision;{NNP}{NN}
function;Collect advice;{VB}{NN}
function;Test adm wealth;{NN}{NN}{NN}
function;Process continue 7;{VB}{VB}{CD}
function;Informally check completeness;{RB}{VB}{NN}
function;Sign final decision;{NN}{JJ}{NN}
function;Archive final decision;{NNP}{JJ}{NN}
function;Ask adjustment of request;{VB}{NN}{IN}{NN}
function;Send final decision;{VB}{JJ}{NN}
function;Start case;{NNP}{NN}
function;Publish negative decision;{VB}{JJ}{NN}
function;Ask for advice;{VB}{IN}{NN}
function;Format intention to refuse;{NN}{NN}{TO}{VB}
function;Waiting for info;{VBG}{IN}{NN}
function;Ask additional info;{VB}{JJ}{NN}
function;Test admissibility;{NN}{NN}
function;Process result;{VB}{NN}
function;Applicant decides to reconsider application;{NN}{VBZ}{TO}{VB}{NN}
function;Check fire safety;{VB}{NN}{NN}
function;Register;{NNP}
function;Forward to appropriate authority;{RB}{TO}{JJ}{NN}
function;Hold hearing;{VB}{NN}
function;Time for info expired;{NNP}{IN}{NN}{VBD}
function;Publish decision;{VB}{NN}
function;Process continue 6;{VB}{VB}{CD}
function;Sign decision;{NN}{NN}
function;Inform customer;{VB}{NN}
function;Time for advice expired;{NNP}{IN}{NN}{VBD}
function;Contact customer;{NN}{NN}
function;Hearing requested;{NN}{VBD}
function;Process continue;{VB}{VB}
function;Process continue 4;{VB}{VB}{CD}
function;VVGB required;{NN}{VBD}
function;Test adm architecture advisor;{NN}{NN}{NN}{NN}
function;Publish notice request;{VB}{NN}{NN}
function;Record request in system;{VB}{NN}{IN}{NN}
function;Check completeness;{VB}{NN}
function;Positive advice;{JJ}{NN}
function;Test adm urban planning;{NN}{NN}{JJ}{NN}
function;Receive VVGB;{VB}{NN}
function;Right authority;{RB}{NN}
function;Process continue 1;{VB}{VB}{CD}
function;Fill in e-form;{VB}{IN}{NN}
function;VVGB time expired;{NNP}{NN}{VBD}
function;VVGB result;{NN}{NN}
function;Determine procedure period;{NN}{NN}{NN}
function;Send procedure confirmation;{VB}{NN}{NN}
function;Send negative decision;{VB}{JJ}{NN}
function;Receive request via mail;{VB}{NN}{IN}{NN}
function;Archive negative decision;{NNP}{JJ}{NN}
function;Process continue 5;{VB}{VB}{CD}
function;Receive requested info;{VB}{VBN}{NN}
function;Check building regulation;{VB}{NN}{NN}
function;Check urban plan;{VB}{JJ}{NN}
function;Refuse permit;{VB}{NN}
function;Publish final decision;{VB}{JJ}{NN}
function;Prepare concept decision;{VB}{NN}{NN}
function;Ask VVGB;{VB}{NNP}
function;Check wealth;{VB}{NN}
function;Negative advice;{JJ}{NN}
event;no;{DT}
event;status change to Send final decision;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Prepare concept decision;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Fill in e-form;{NN}{NN}{TO}{VB}{IN}{NN}
event;yes;{RB}
event;status change to Test adm architecture advisor;{NN}{NN}{TO}{VB}{NN}{NN}{NN}
event;yes;{RB}
event;status change to Time for advice expired;{NN}{NN}{TO}{NNP}{IN}{NN}{VBD}
event;status change to Register;{NN}{NN}{TO}{NNP}
event;status change to Process result;{NN}{NN}{TO}{VB}{NN}
event;status change to Refuse permit;{NN}{NN}{TO}{VB}{NN}
event;yes;{RB}
event;status change to Test adm urban planning;{NN}{NN}{TO}{VB}{NN}{JJ}{NN}
event;status change to VVGB result;{NN}{NN}{TO}{NN}{NN}
event;status change to Test adm wealth;{NN}{NN}{TO}{VB}{NN}{NN}
