81ad114d51d93b95abca2f6b4f50ba31;Sales Order
function;Cash Sales;{NN}{NNS}
function;Rush Order Processing;{VB}{NNP}
event;Standard order is received;{JJ}{NN}{VBZ}{VBN}
event;Cash sales invoice is printed;{NN}{NNS}{NN}{VBZ}{VBN}
event;Items are cancelled;{NNS}{VBP}{VBN}
event;Sales requirements are created;{NNS}{NNS}{VBP}{VBN}
event;Document blocked due to legal control;{NNP}{VBD}{JJ}{TO}{JJ}{NN}
event;Document Blocked due to Insufficient Payment Guarantee;{NNP}{JJ}{TO}{JJ}{NN}{NN}
event;Order generated and delivery opened;{NNP}{VBD}{CC}{NN}{VBD}
event;Standard order is received;{JJ}{NN}{VBZ}{VBN}
