8415348ba98d88b97693d2e66b6d7446;Billing
function;Declarations to Authorities;{NNS}{TO}{NNS}
function;Fixed Price Billing;{VBN}{NN}{NN}
function;Resource-Related Billing;{JJ}{NN}
function;Billing Request Processing;{NN}{NNP}
event;Declarations to the authorities to be carried out;{NNS}{TO}{DT}{NNS}{TO}{VB}{VBN}{RP}
event;Billing document is monitored;{NN}{NN}{VBZ}{VBN}
event;Billing doc. relevant to accounting is created;{NN}{NN}{.}
event;Order-related invoice to be created;{JJ}{NN}{TO}{VB}{VBN}
event;Billing request released for billing document;{NN}{NN}{VBN}{IN}{NN}{NN}
event;Bil. doc. is released for billing;{NNP}{.}
event;Billing doc. relevant to accounting is created;{NN}{NN}{.}
event;Billing document is monitored;{NN}{NN}{VBZ}{VBN}
event;Declarations transmitted;{NNS}{VBD}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Delivery is relevant for billing;{NN}{VBZ}{JJ}{IN}{NN}
event;Delivery is relevant for billing;{NN}{VBZ}{JJ}{IN}{NN}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Bil. doc. is released for billing;{NNP}{.}
