86421b0098a172d852cadd9eef788a5f;Fig.47: MOR YAWL model for MunI
function;Receive call during bus hours;{VB}{NN}{IN}{NN}{NNS}
function;Inform person who reported;{VB}{NN}{WP}{VBD}
function;Enter data about the informer;{VB}{NNS}{IN}{DT}{NN}
function;Check if issue was handled;{VB}{IN}{NN}{VBD}{VBN}
function;Close case;{JJ}{NN}
function;Enter data public light mgmt sys;{VB}{NNS}{JJ}{JJ}{NN}{NNS}
function;Issue signed receipt;{NN}{VBD}{NN}
function;Fill in contact info;{VB}{IN}{NN}{NN}
function;Concerns lighting;{NNS}{VBG}
function;Contact persons involved;{NN}{NNS}{VBN}
function;To register;{TO}{VB}
function;Enter data in the system;{VB}{NNS}{IN}{DT}{NN}
function;Fill in info about issue;{VB}{IN}{NN}{IN}{NN}
function;Register request;{NNP}{NN}
function;Receive confirmation problem handled;{VB}{NN}{NN}{VBD}
function;Known issue;{VBN}{NN}
function;Ask cust what product he is there for;{VB}{NN}{WDT}{NN}{PRP}{VBZ}{RB}{IN}
function;Enter data about issue;{VB}{NNS}{IN}{NN}
function;Send ackn;{VB}{NN}
function;Urgent issue;{JJ}{NN}
function;Handle issue;{VB}{NN}
function;Assign categ resp person and dept;{VB}{NN}{NN}{NN}{CC}{NN}
event;no;{DT}
event;yes;{RB}
event;Start case;{NNP}{NN}
event;yes;{RB}
event;yes;{RB}
event;no;{DT}
event;no;{DT}
event;no lighting and online req;{DT}{NN}{CC}{NN}{NN}
event;no;{DT}
event;no;{DT}
event;yes;{RB}
event;Case closed;{NNP}{VBD}
event;yes;{RB}
