8ad18014ce496732ef86818a801f9177;Fig.71: WMO YAWL model for MunC
function;Look for alternative living space;{VB}{IN}{JJ}{NN}{NN}
function;Formulate decision;{VB}{NN}
function;Send e-mail to WMO;{VB}{NN}{TO}{NNP}
function;Record request in the system;{VB}{NN}{IN}{DT}{NN}
function;Proofread report;{NNP}{NN}
function;Perform fitting;{VB}{JJ}
function;Write e-mail with request;{VB}{JJ}{IN}{NN}
function;Handle Payment;{VB}{NN}
function;Hand in filled form;{VB}{IN}{VBN}{NN}
function;Carry out house visit;{VB}{RP}{NN}{NN}
function;Check decision by colleague;{VB}{NN}{IN}{NN}
function;Estimate costs;{NNP}{NNS}
function;Case-specific tasks complete;{JJ}{NNS}{JJ}
function;Start perform case specific tasks;{NNP}{VB}{NN}{JJ}{NNS}
function;Transfer amount to CAK;{NN}{NN}{TO}{NN}
function;Send confirmation of receipt;{VB}{NN}{IN}{NN}
function;Send invoice;{VB}{NN}
function;Send order;{VB}{NN}
function;Receive WMO request via mail;{VB}{NNP}{NN}{IN}{NN}
function;Determine amount;{NN}{NN}
function;Request a fitting;{VB}{DT}{JJ}
function;Assign to available consultant;{VB}{TO}{JJ}{NN}
function;Examine customer;{VB}{NN}
function;Fill in form under supervision;{VB}{IN}{NN}{IN}{NN}
function;Receive recommendation;{VB}{NN}
function;Request cost estimation for modification;{NN}{NN}{NN}{IN}{NN}
function;Execute order;{VB}{NN}
function;Determine care provider to approach;{VB}{NN}{NN}{TO}{NN}
function;Formulate advice;{VB}{NN}
function;Fill in e-form;{VB}{IN}{NN}
function;Redirect to desk;{VB}{TO}{NN}
function;Plan examination with customer;{NNP}{NN}{IN}{NN}
function;Assess need for house visit and medical advice;{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
function;Determine offer;{NN}{NN}
function;Register mail;{NNP}{NN}
function;Compromise on the arrangement;{NN}{IN}{DT}{NN}
function;Formulate indicative report;{VB}{JJ}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
event;transportation facilities;{NN}{NNS}
event;always;{RB}
event;Start case options;{NNP}{NN}{NNS}
event;always;{RB}
event;PGB no;{NNP}{DT}
event;PGB yes;{NN}{RB}
event;Process end;{VB}{NN}
event;no PGB;{DT}{NN}
event;only if building advice needed;{RB}{IN}{NN}{NN}{VBD}
event;rejected;{VBN}
event;other;{JJ}
event;house visit needed;{NN}{NN}{VBD}
event;no house visit and no medical advice needed;{DT}{NN}{NN}{CC}{DT}{JJ}{NN}{VBN}
event;house visit needed and medical advice needed;{NN}{NN}{VBN}{CC}{JJ}{NN}{VBN}
event;house visit needed but no medical advice;{NN}{NN}{VBN}{CC}{DT}{JJ}{NN}
event;help with the household;{NN}{IN}{DT}{NN}
event;no house visit but medical advice needed;{DT}{NN}{NN}{CC}{JJ}{NN}{VBN}
event;large modifications to house;{JJ}{NNS}{TO}{NN}
event;with PGB;{IN}{NN}
event;approved;{VBN}
