8dd2209d060f738ed9e6bcaf21637c1c;Sales Order Processing (Standard)
function;Backorder Processing;{NNP}
function;Customer Outline Agreement;{NN}{NNP}
function;Shipping;{VBG}
function;Costing;{VBG}
function;Warehouse Management;{NNP}
function;Shipment;{NN}
function;Sales Order;{NNS}{NN}
function;Risk/ Credit Management;{NN}{:}{NNP}
function;Billing;{NN}
event;Product costng to material in sales document to be created;{NN}{NN}{TO}{NN}{IN}{NNS}{VBP}{TO}{VB}{VBN}
event;Delivery is to be created;{NN}{VBZ}{TO}{VB}{VBN}
event;Quotation reason occurred;{NN}{NN}{VBD}
event;Contract is created;{NN}{VBZ}{VBN}
event;Purchase requisition without source of supply created;{NN}{NN}{IN}{NN}{IN}{NN}{VBN}
event;Subsequent Document is to be Created from Sales Activity;{JJ}{NNP}{VBZ}{TO}{VB}{VBN}{IN}{NNS}{NN}
event;Material is issued;{NN}{VBZ}{VBN}
event;Missing parts situation could not be eliminated;{VBG}{NNS}{NN}{MD}{RB}{VB}{VBN}
event;Unit costing for material in sales document to be created;{NN}{VBG}{IN}{NN}{IN}{NNS}{VBP}{TO}{VB}{VBN}
event;Delivery is relevant for shipment;{NN}{VBZ}{JJ}{IN}{NN}
event;Missing parts situation is eliminated;{VBG}{NNS}{NN}{VBZ}{VBN}
event;Order is created;{NN}{VBZ}{VBN}
event;Document blocked due to legal control;{NNP}{VBD}{JJ}{TO}{JJ}{NN}
event;Bil. doc. is released for billing;{NNP}{.}
event;Document Blocked due to Insufficient Payment Guarantee;{NNP}{JJ}{TO}{JJ}{NN}{NN}
event;Terms of credit have changed;{NNS}{IN}{NN}{VBP}{VBN}
event;Items are cancelled;{NNS}{VBP}{VBN}
event;Group Master Contract is to be Created;{NNP}{VBZ}{TO}{VB}{VBN}
event;Quotation to be created from inquiry;{NN}{TO}{VB}{VBN}{IN}{NN}
event;Scheduling agreement release is issued;{VBG}{NN}{NN}{VBZ}{VBN}
event;Sales document preliminary costed via unit costing;{NNS}{VBP}{JJ}{VBN}{IN}{NN}{VBG}
event;Deliveries need to be planned;{NNS}{VBP}{TO}{VB}{VBN}
event;Sales requirements are created;{NNS}{NNS}{VBP}{VBN}
event;Missing parts information is generated;{VBG}{NNS}{NN}{VBZ}{VBN}
event;Transfer order created automatically;{NN}{NN}{VBN}{RB}
event;Invoice list is created;{NNP}{NN}{VBZ}{VBN}
event;Items are cancelled;{NNS}{VBP}{VBN}
event;Goods movement is posted;{NNP}{NN}{VBZ}{VBN}
event;Shipment costs per item are calculated;{NN}{NNS}{IN}{NN}{VBP}{VBN}
event;Transfer order item is confirmed;{NN}{NN}{NN}{VBZ}{VBN}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Sales requirements are created;{NNS}{NNS}{VBP}{VBN}
event;Sales order preliminary costing via product costing;{NNS}{NN}{JJ}{VBG}{IN}{NN}{VBG}
event;Backorder processing is to be carried out for material;{NN}{NN}{VBZ}{TO}{VB}{VBN}{RP}{IN}{NN}
event;Transfer order created manually;{NN}{NN}{VBN}{RB}
event;Contract ist to be created;{NN}{NN}{TO}{VB}{VBN}
event;Change to terms of credit refused;{NNP}{TO}{NNS}{IN}{NN}{VBD}
event;Standard order is received;{JJ}{NN}{VBZ}{VBN}
event;Scheduling agreement is created;{VBG}{NN}{VBZ}{VBN}
event;Customer release order received;{NN}{NN}{NN}{VBD}
event;Sched.agreement must be created;{NN}{MD}{VB}{VBN}
