90e56e19cc9c4fc850ae3f02a2706a5b;Fig.63: WABO2 YAWL model for MunE
function;Test adm fire department;{NN}{NN}{NN}{NN}
function;Send bill;{VB}{NN}
function;Informally check completeness;{RB}{VB}{NN}
function;Test adm architecture advisor;{NN}{NN}{NN}{NN}
function;Receive request via mail;{VB}{NN}{IN}{NN}
function;Check building regulation;{VB}{NN}{NN}
function;Process result;{VB}{NN}
function;Send final decision;{VB}{JJ}{NN}
function;Contact customer;{NN}{NN}
function;Prepare bill;{VB}{NN}
function;Check completeness;{VB}{NN}
function;Publish notice request;{VB}{NN}{NN}
function;Determine procedure period;{NN}{NN}{NN}
function;Waiting for info;{VBG}{IN}{NN}
function;Hearing requested;{NN}{VBD}
function;Archive negative decision;{NNP}{JJ}{NN}
function;Sign decision;{NN}{NN}
function;Ask for advice;{VB}{IN}{NN}
function;Hold hearing;{VB}{NN}
function;Send notice to customer;{VB}{NN}{TO}{NN}
function;Send negative decision;{VB}{JJ}{NN}
function;Format intention to refuse;{NN}{NN}{TO}{VB}
function;Archive final decision;{NNP}{JJ}{NN}
function;Fill in e-form;{VB}{IN}{NN}
function;Publish final decision;{VB}{JJ}{NN}
function;Assign investigating officer;{VB}{VBG}{NN}
function;Applicant decides to reconsider application;{NN}{VBZ}{TO}{VB}{NN}
function;Ask adjustment of request;{VB}{NN}{IN}{NN}
function;Send decision;{VB}{NN}
function;Positive advice;{JJ}{NN}
function;Register;{NNP}
function;Sign final decision;{NN}{JJ}{NN}
function;Check for contradictions;{VB}{IN}{NNS}
function;Archive decision;{NNP}{NN}
function;Ask additional info;{VB}{JJ}{NN}
function;Check urban plan;{VB}{JJ}{NN}
function;Check fire safety;{VB}{NN}{NN}
function;Permit;{VB}
function;Forward to appropriate authority;{RB}{TO}{JJ}{NN}
function;VVGB required;{NN}{VBD}
function;Refuse permit;{VB}{NN}
function;Waiting for comments;{VBG}{IN}{NNS}
function;Publish negative decision;{VB}{JJ}{NN}
function;Publish decision;{VB}{NN}
function;Test adm wealth;{NN}{NN}{NN}
function;Collect advice;{VB}{NN}
function;Right authority;{RB}{NN}
function;Waiting for VVGB;{VBG}{IN}{NN}
function;Negative advice;{JJ}{NN}
function;Test admissibility;{NN}{NN}
function;Send acknowledgement;{VB}{NN}
function;Conclude decision;{VB}{NN}
function;Notify advisors;{VB}{NNS}
function;Test adm urban planning;{NN}{NN}{JJ}{NN}
function;Ask VVGB;{VB}{NNP}
function;Prepare concept decision;{VB}{NN}{NN}
function;Record request in system;{VB}{NN}{IN}{NN}
function;Send procedure confirmation;{VB}{NN}{NN}
function;Check wealth;{VB}{NN}
event;no;{DT}
event;not complete;{RB}{VB}
event;yes;{RB}
event;Receive advice;{VB}{NN}
event;yes;{RB}
event;no;{DT}
event;no;{DT}
event;Time for info expired;{NNP}{IN}{NN}{VBD}
event;End case;{NNP}{NN}
event;Time for advice expired;{NNP}{IN}{NN}{VBD}
event;yes;{RB}
event;yes;{RB}
event;no;{DT}
event;yes;{RB}
event;Start case;{NNP}{NN}
event;yes;{RB}
event;no;{DT}
event;no;{DT}
event;VVGB time expired;{NNP}{NN}{VBD}
event;complete;{JJ}
event;yes;{RB}
event;Receive requested info;{VB}{VBN}{NN}
event;no;{DT}
event;Receive VVGB;{VB}{NN}
