91d4a9f1c225e7f672c4663df6dfdedc;Warehouse/Stores
function;Confirmation;{NN}
function;Stock Placement Processing;{NNP}
function;Difference Processing;{NN}{NN}
function;Stock Removal Processing;{NNP}{NN}{NN}
event;Goods receipt posted;{NNP}{NN}{VBD}
event;Material placed in storage;{NN}{VBN}{IN}{NN}
event;Transfer order item with difference exists;{NN}{NN}{NN}{IN}{NN}{VBZ}
event;Material is removed from stock;{NN}{VBZ}{VBN}{IN}{NN}
event;TO item confirmed without differences;{TO}{NN}{VBD}{IN}{NNS}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Transfer order item is confirmed;{NN}{NN}{NN}{VBZ}{VBN}
