91d4f4231c2031a4f931afa263f9086e;Fig.47: MOR YAWL model for MunI
function;Contact persons involved;{NN}{NNS}{VBN}
function;FIll in contact info;{VB}{IN}{NN}{NN}
function;Process continue 2;{VB}{VB}{CD}
function;Enter data in the system;{VB}{NNS}{IN}{DT}{NN}
function;Receive call during bus hours;{VB}{NN}{IN}{NN}{NNS}
function;Handle issue;{VB}{NN}
function;Process continue;{VB}{VB}
function;Process continue 1;{VB}{VB}{CD}
function;Concerns lighting;{NNS}{VBG}
function;Known issue;{VBN}{NN}
function;Register request;{NNP}{NN}
function;Check if issue was handled;{VB}{IN}{NN}{VBD}{VBN}
function;Ask cust what product he is there for;{VB}{NN}{WDT}{NN}{PRP}{VBZ}{RB}{IN}
function;Start case;{NNP}{NN}
function;Urgent issue;{JJ}{NN}
function;Process continue 4;{VB}{VB}{CD}
function;Enter data about issue;{VB}{NNS}{IN}{NN}
function;Assign categ resp person and dept;{VB}{NN}{NN}{NN}{CC}{NN}
function;To register;{TO}{VB}
function;Enter data about the informer;{VB}{NNS}{IN}{DT}{NN}
function;Fill in info about issue;{VB}{IN}{NN}{IN}{NN}
function;Process continue 5;{VB}{VB}{CD}
function;Enter data public light mgmt sys;{VB}{NNS}{JJ}{JJ}{NN}{NNS}
function;Inform person who reported;{VB}{NN}{WP}{VBD}
function;Issue signed receipt;{NN}{VBD}{NN}
function;Send ackn;{VB}{NN}
function;Receive confirmation problem handled;{VB}{NN}{NN}{VBD}
function;Close case;{JJ}{NN}
function;Process continue 3;{VB}{VB}{CD}
event;status change to Close case;{NN}{NN}{TO}{VB}{NN}
event;yes;{RB}
event;the end;{DT}{NN}
event;status change to Assign categ resp person and dept;{NN}{NN}{TO}{VB}{NN}{NN}{NN}{CC}{NN}
event;no;{DT}
event;status change to Enter data in the system;{NN}{NN}{TO}{VB}{NNS}{IN}{DT}{NN}
event;status change to Fill in info about issue;{NN}{NN}{TO}{VB}{IN}{NN}{IN}{NN}
event;status change to Send ackn;{NN}{NN}{TO}{VB}{NN}
event;status change to Handle issue;{NN}{NN}{TO}{VB}{NN}
event;status change to Enter data about issue;{NN}{NN}{TO}{VB}{NNS}{IN}{NN}
event;status change to Known issue;{NN}{NN}{TO}{VBN}{NN}
event;status change to FIll in contact info;{NN}{NN}{TO}{VB}{IN}{NN}{NN}
event;status change to Check if issue was handled;{NN}{NN}{TO}{VB}{IN}{NN}{VBD}{VBN}
event;status change to Receive call during bus hours;{NN}{NN}{TO}{VB}{NN}{IN}{NN}{NNS}
event;no;{DT}
event;status change to Issue signed receipt;{NN}{NN}{TO}{NNP}{VBD}{NN}
event;status change to Ask cust what product he is there for;{NN}{NN}{TO}{VB}{NN}{WDT}{NN}{PRP}{VBZ}{RB}{IN}
event;no lighting and online req;{DT}{NN}{CC}{NN}{NN}
event;status change to Urgent issue;{NN}{NN}{TO}{JJ}{NN}
event;status change to Enter data public light mgmt sys;{NN}{NN}{TO}{VB}{NNS}{JJ}{JJ}{NN}{NNS}
event;no;{DT}
event;no;{DT}
event;status change to Start case;{NN}{NN}{TO}{NNP}{NN}
event;yes;{RB}
event;status change to To register;{NN}{NN}{TO}{TO}{VB}
event;status change to Concerns lighting;{NN}{NN}{TO}{NNS}{VBG}
event;no;{DT}
event;status change to Receive confirmation problem handled;{NN}{NN}{TO}{VB}{NN}{NN}{VBD}
event;yes;{RB}
event;yes;{RB}
