9917aaeb341c8299f7a7d3d5e678db13;Refurbishment Processing in Plant Maintenance
function;Order;{NN}
function;Completion Confirmation;{NNP}{NN}
function;Settlement and Completion;{NNP}{CC}{NNP}
function;Capacity Planning;{NN}{NNP}
function;Goods Movements;{NNP}{NNS}
event;Maintenance order is released;{NN}{NN}{VBZ}{VBN}
event;Maintenance order is confirmed completely;{NN}{NN}{VBZ}{VBN}{RB}
event;Maintenance requirement has arisen;{NN}{NN}{VBZ}{VBN}
event;Maintenance order is printed;{NN}{NN}{VBZ}{VBN}
event;Completion confirmations of time to be created using time sheet;{NN}{NNS}{IN}{NN}{TO}{VB}{VBN}{VBG}{NN}{NN}
event;Service is accepted;{NNP}{VBZ}{VBN}
event;Material withdrawal is to be posted;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Services are to be entered;{NNPS}{VBP}{TO}{VB}{VBN}
event;Capacity Leveling or Planning Is Performed;{NN}{NN}{CC}{NNP}{VBZ}{VBN}
event;Actual costs are updated to maintenance order;{JJ}{NNS}{VBP}{VBN}{TO}{NN}{NN}
event;Individual operations are confirmed;{JJ}{NNS}{VBP}{VBN}
event;Open material reservations are deleted;{VB}{NN}{NNS}{VBP}{VBN}
event;Maintenance order is completed with time reference;{NN}{NN}{VBZ}{VBN}{IN}{NN}{NN}
event;Withdrawal of the repairable spare to be refurbished is to be posted;{NN}{IN}{DT}{JJ}{JJ}{TO}{VB}{VBN}{VBZ}{TO}{VB}{VBN}
event;Material is not available;{NN}{VBZ}{RB}{JJ}
event;Capacity is available;{NN}{VBZ}{JJ}
event;Maintenance order is to be created manually;{NN}{NN}{VBZ}{TO}{VB}{VBN}{RB}
event;Repairable spare is to be refurbished;{JJ}{JJ}{VBZ}{TO}{VB}{VBN}
event;Refurbished repairable spare is to be posted into the warehouse;{VBN}{JJ}{JJ}{VBZ}{TO}{VB}{VBN}{IN}{DT}{NN}
event;Material is issued;{NN}{VBZ}{VBN}
event;Purchase requisition without source of supply created;{NN}{NN}{IN}{NN}{IN}{NN}{VBN}
event;Material reservation can be withdrawn;{NN}{NN}{MD}{VB}{VBN}
event;Refurbishment order for material/ equipment is to be created;{NN}{NN}{IN}{NN}{:}{NN}{VBZ}{TO}{VB}{VBN}
event;Operations and Order Must Be Confirmed;{NNP}{CC}{NNP}{MD}{VB}{VBN}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Capacity load is updated;{NN}{NN}{VBZ}{VBN}
event;Capacity situation is to be evaluated;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Capacity requirement records are deleted;{NN}{NN}{NNS}{VBP}{VBN}
event;Order Should Be Technically Completed;{NNP}{MD}{VB}{NNP}
event;Working hours data was analyzed;{VBG}{NNS}{NNS}{VBD}{VBN}
event;Archiving carried out;{VBG}{VBD}{RP}
event;Maintenance order is to be created for maintenance notification;{NN}{NN}{VBZ}{TO}{VB}{VBN}{IN}{NN}{NN}
event;Maintenance order is partially confirmed;{NN}{NN}{VBZ}{RB}{VBN}
event;Open purchase requisitions for non-stock material are deleted;{VB}{NN}{NNS}{IN}{JJ}{NN}{VBP}{VBN}
event;Retrograde withdrawal to be posted;{NNP}{NN}{TO}{VB}{VBN}
event;Goods Receipt Posted;{NNP}{VBD}
