9b4415c99c3001e42043423edd03955a;Fig.69: WMO YAWL model for MunA
function;Request cost estimation for modification;{NN}{NN}{NN}{IN}{NN}
function;Customer requests to seek bids;{NN}{NNS}{TO}{VB}{NNS}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Record request ISD;{VB}{NN}{NN}
function;Receive offers;{VB}{NNS}
function;Higher than EUR 10000;{JJR}{IN}{$}{CD}
function;Compare invoice to record;{VB}{NN}{TO}{NN}
function;Determine amount;{NN}{NN}
function;Case-specific tasks complete;{JJ}{NNS}{JJ}
function;Record request;{VB}{NN}
function;Go through app;{VB}{IN}{NN}
function;Formulate decision;{VB}{NN}
function;Pay part of invoice;{VB}{NN}{IN}{NN}
function;Contract customer;{NN}{NN}
function;Formulate indicative report;{VB}{JJ}{NN}
function;Estimate costs;{NNP}{NNS}
function;Plan examination with customer;{NNP}{NN}{IN}{NN}
function;Fill in e-form;{VB}{IN}{NN}
function;Need quotation;{VBN}{NN}
function;Compromise on the arrangement;{NN}{IN}{DT}{NN}
function;Determine offer;{NN}{NN}
function;Perform fitting;{VB}{JJ}
function;Receive confirmation;{VB}{NN}
function;Get in contact about wrong charges;{VB}{IN}{NN}{IN}{JJ}{NNS}
function;Copy decision;{VB}{NN}
function;Make preliminary decision;{VB}{JJ}{NN}
function;Get customer;{VB}{NN}
function;Pay full invoice;{VB}{JJ}{NN}
function;Receive recommendation;{VB}{NN}
function;Assign to available consultant;{VB}{TO}{JJ}{NN}
function;Send request to ISD;{VB}{NN}{TO}{NN}
function;Carry out house visit;{VB}{RP}{NN}{NN}
function;Receive request ISD;{VB}{NN}{NN}
function;Report to reception;{NNP}{TO}{NN}
function;Send invoice;{VB}{NN}
function;Start perform case specific tasks;{NNP}{VB}{NN}{JJ}{NNS}
function;Determine care provider to approach;{VB}{NN}{NN}{TO}{NN}
function;Look for alternative living space;{VB}{IN}{JJ}{NN}{NN}
function;Process in the system;{VB}{IN}{DT}{NN}
function;Obtain quotes;{VB}{NNS}
function;Request a fitting;{VB}{DT}{JJ}
function;Archive;{NNP}
function;Decide about the report;{VB}{IN}{DT}{NN}
function;Examine customer;{VB}{NN}
function;Send order;{VB}{NN}
function;Execute order;{VB}{NN}
function;Have phone conversation;{VBP}{NN}{NN}
function;Assess need for house visit and medical advice;{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
function;Give application form;{VB}{NN}{NN}
event;always;{RB}
event;other;{JJ}
event;help with the household;{NN}{IN}{DT}{NN}
event;yes;{RB}
event;only if no PGB;{RB}{IN}{DT}{NN}
event;only if building advice needed;{RB}{IN}{NN}{NN}{VBD}
event;always;{RB}
event;no;{DT}
event;Process end;{VB}{NN}
event;with PGB;{IN}{NN}
event;no house visit but medical advice needed;{DT}{NN}{NN}{CC}{JJ}{NN}{VBN}
event;yes;{RB}
event;no PGB;{DT}{NN}
event;always;{RB}
event;house visit needed and medical advice needed;{NN}{NN}{VBN}{CC}{JJ}{NN}{VBN}
event;always;{RB}
event;house visit needed;{NN}{NN}{VBD}
event;transportation facilities;{NN}{NNS}
event;Start case options;{NNP}{NN}{NNS}
event;no house visit and no medical advice needed;{DT}{NN}{NN}{CC}{DT}{JJ}{NN}{VBN}
event;no;{DT}
event;house visit needed but no medical advice;{NN}{NN}{VBN}{CC}{DT}{JJ}{NN}
event;large modifications to house;{JJ}{NNS}{TO}{NN}
