9d0bebeaf4846b0c3cfcc1adf8d90c76;Fig.62: WABO2 YAWL model for MunD
function;Ask adjustment of request;{VB}{NN}{IN}{NN}
function;Determine procedure period;{NN}{NN}{NN}
function;Forward to appropriate authority;{RB}{TO}{JJ}{NN}
function;Right authority;{RB}{NN}
function;Receive request via mail;{VB}{NN}{IN}{NN}
function;Publish final decision;{VB}{JJ}{NN}
function;Test adm architecture advisor;{NN}{NN}{NN}{NN}
function;Waiting for VVGB;{VBG}{IN}{NN}
function;Register;{NNP}
function;Archive negative decision;{NNP}{JJ}{NN}
function;Check completeness;{VB}{NN}
function;Applicant decides to reconsider application;{NN}{VBZ}{TO}{VB}{NN}
function;Ask VVGB;{VB}{NNP}
function;Ask for advice;{VB}{IN}{NN}
function;Assign investigating officer;{VB}{VBG}{NN}
function;Hearing requested;{NN}{VBD}
function;Test adm urban planning;{NN}{NN}{JJ}{NN}
function;Sign decision;{NN}{NN}
function;Ask additional info;{VB}{JJ}{NN}
function;Informally check completeness;{RB}{VB}{NN}
function;Record request in system;{VB}{NN}{IN}{NN}
function;Format intention to refuse;{NN}{NN}{TO}{VB}
function;Publish notice request;{VB}{NN}{NN}
function;Test adm fire department;{NN}{NN}{NN}{NN}
function;Notify advisors;{VB}{NNS}
function;Contact customer;{NN}{NN}
function;VVGB required;{NN}{VBD}
function;Hold hearing;{VB}{NN}
function;Send negative decision;{VB}{JJ}{NN}
function;Sign final decision;{NN}{JJ}{NN}
function;Test admissibility;{NN}{NN}
function;Check urban plan;{VB}{JJ}{NN}
function;Waiting for comments;{VBG}{IN}{NNS}
function;Waiting for info;{VBG}{IN}{NN}
function;Publish negative decision;{VB}{JJ}{NN}
function;Refuse permit;{VB}{NN}
function;Archive decision;{NNP}{NN}
function;Process result;{VB}{NN}
function;Check wealth;{VB}{NN}
function;Send procedure confirmation;{VB}{NN}{NN}
function;Check fire safety;{VB}{NN}{NN}
function;Collect admissibility;{VB}{NN}
function;Check for contradictions;{VB}{IN}{NNS}
function;Send acknowledgment;{VB}{NN}
function;Send final decision;{VB}{JJ}{NN}
function;Check building regulation;{VB}{NN}{NN}
function;Publish decision;{VB}{NN}
function;Conclude decision;{VB}{NN}
function;Prepare concept decision;{VB}{NN}{NN}
function;Fill in e-form;{VB}{IN}{NN}
function;Test adm wealth;{NN}{NN}{NN}
function;Archive final decision;{NNP}{JJ}{NN}
function;Send decision;{VB}{NN}
function;Positive advice;{JJ}{NN}
function;Negative advice;{JJ}{NN}
event;yes;{RB}
event;Start case;{NNP}{NN}
event;yes;{RB}
event;not complete;{RB}{VB}
event;End case;{NNP}{NN}
event;yes;{RB}
event;no;{DT}
event;no;{DT}
event;yes;{RB}
event;no;{DT}
event;yes;{RB}
event;complete;{JJ}
event;no;{DT}
event;VVGB time expired;{NNP}{NN}{VBD}
event;Time for advice expired;{NNP}{IN}{NN}{VBD}
event;Receive requested info;{VB}{VBN}{NN}
event;no;{DT}
event;no;{DT}
event;Receive VVGB;{VB}{NN}
event;yes;{RB}
event;Receive advice;{VB}{NN}
event;Time for info expired;{NNP}{IN}{NN}{VBD}
