9dc6090ee83234f955f4080de06e15a7;Fig.25: GBA2 YAWL model for MunG
function;Give GBA extract;{VB}{NNP}{NN}
function;Determine whether requester is entitled;{VB}{IN}{NN}{VBZ}{VBN}
function;Waiting for payment;{VBG}{IN}{NN}
function;Ask customer to pay;{VB}{NN}{TO}{VB}
function;Choose Product;{VB}{NNP}
function;No payment;{DT}{NN}
function;Determine whether proof of identity is present;{VB}{IN}{NN}{IN}{NN}{VBZ}{JJ}
function;Produce extract and sign;{VB}{NN}{CC}{NN}
function;Give coupon;{VB}{NN}
function;Process payment;{VB}{NN}
function;Receive payment;{VB}{NN}
function;Determine fees;{NN}{NNS}
function;Ask identifying questions;{VB}{VBG}{NNS}
function;Give receipt;{VB}{NN}
function;Call coupon holder;{VB}{NN}{NN}
event;Start process;{NNP}{NN}
event;Process end;{VB}{NN}
event;not free;{RB}{JJ}
event;free;{JJ}
event;not entitled;{RB}{VBN}
