9dcbfc544301e069abac20f4430b0351;FIFO Valuation
function;FIFO: Material ID;{NNP}{:}{NNP}
function;FIFO: Valuation;{NNP}{:}{NN}
function;FIFO: Create Document Extract;{NNP}{:}{VB}{NNP}{NN}
event;FIFO begins in the middle of the fiscal year;{NN}{VBZ}{IN}{DT}{NN}{IN}{DT}{JJ}{NN}
event;FIFO valuation to be based on single receipts;{NNP}{NN}{TO}{VB}{VBN}{IN}{JJ}{NNS}
event;Document extract for FIFO was formed;{NNP}{NN}{IN}{NNP}{VBD}{VBN}
event;Batch input has been created for price change;{NN}{NN}{VBZ}{VBN}{VBN}{IN}{NN}{NN}
event;FIFO valuation was carried out;{NNP}{NN}{VBD}{VBN}{RP}
event;Materials should be subject to FIFO valuation;{NNPS}{MD}{VB}{JJ}{TO}{NNP}{NN}
event;Materials are subject to FIFO valuation;{NNPS}{VBP}{JJ}{TO}{NNP}{NN}
