ab1c6a90abedfec82b08c8cd411ca173;Fig.78: WMO YAWL model for MunJ
function;Standard decision;{NNP}{NN}
function;Case-specific tasks complete;{JJ}{NNS}{JJ}
function;Determine care provider to approach;{VB}{NN}{NN}{TO}{NN}
function;Examine customer;{VB}{NN}
function;Determine client own initiative;{VB}{NN}{JJ}{NN}
function;Receive recommendation;{VB}{NN}
function;Receive mail and send to approp dep;{VB}{NN}{CC}{VB}{TO}{VB}{NN}
function;Assess need for house visit and medical advice;{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
function;Formulate decision;{VB}{NN}
function;Determine amount;{NN}{NN}
function;Compromise on the arrangement;{NN}{IN}{DT}{NN}
function;Process continue 4;{VB}{VB}{CD}
function;Process payment;{VB}{NN}
function;Perform fitting;{VB}{JJ}
function;Process continue 13;{VB}{VB}{CD}
function;Check GBA;{VB}{NNP}
function;Formulate indicative report;{VB}{JJ}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Record decision;{VB}{NN}
function;Check WMO archive;{VB}{NNP}{NN}
function;Process continue 1;{VB}{VB}{CD}
function;Process continue 2;{VB}{VB}{CD}
function;Process continue 6;{VB}{VB}{CD}
function;Process continue 12;{VB}{VB}{CD}
function;Look for alternative living space;{VB}{IN}{JJ}{NN}{NN}
function;Start perform case specific tasks;{NNP}{VB}{NN}{JJ}{NNS}
function;Archive file;{NNP}{NN}
function;Plan examination with customer;{NNP}{NN}{IN}{NN}
function;Fill in app form;{VB}{IN}{NN}{NN}
function;Carry out house visit;{VB}{RP}{NN}{NN}
function;Record request;{VB}{NN}
function;Send order;{VB}{NN}
function;Assign to available consultant;{VB}{TO}{JJ}{NN}
function;Determine offer;{NN}{NN}
function;Send invoice;{VB}{NN}
function;Process continue 29;{VB}{VB}{CD}
function;Assign to previous consultant;{VB}{TO}{JJ}{NN}
function;Process continue 3;{VB}{VB}{CD}
function;Estimate costs;{NNP}{NNS}
function;Process continue 30;{VB}{VB}{CD}
function;Request cost estimation for modification;{NN}{NN}{NN}{IN}{NN}
function;Request a fitting;{VB}{DT}{JJ}
function;Create file;{VB}{NN}
function;PGB yes or no;{NN}{RB}{CC}{DT}
function;Formulate decision by consultant;{VB}{NN}{IN}{NN}
function;Execute order;{VB}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to;{NN}{NN}{TO}
event;status change to;{NN}{NN}{TO}
event;other;{JJ}
event;status change to Check GBA;{NN}{NN}{TO}{VB}{NNP}
event;no PGB;{DT}{NN}
event;large modifications to house;{JJ}{NNS}{TO}{NN}
event;status change to Determine offer;{NN}{NN}{TO}{VB}{NN}
event;house visit needed but no medical advice;{NN}{NN}{VBN}{CC}{DT}{JJ}{NN}
event;status change to Formulate indicative report;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Plan examination with customer;{NN}{NN}{TO}{NNP}{NN}{IN}{NN}
event;status change to Determine client own initiative;{NN}{NN}{TO}{VB}{NN}{JJ}{NN}
event;status change to Process payment;{NN}{NN}{TO}{VB}{NN}
event;status change to Estimate costs;{NN}{NN}{TO}{NNP}{NNS}
event;status change to Fill in app form;{NN}{NN}{TO}{VB}{IN}{NN}{NN}
event;transportation facilities;{NN}{NNS}
event;status change to Standard decision;{NN}{NN}{TO}{NNP}{NN}
event;only if building advice needed;{RB}{IN}{NN}{NN}{VBD}
event;no house visit but medical advice needed;{DT}{NN}{NN}{CC}{JJ}{NN}{VBN}
event;requestor unknown;{NN}{NN}
event;status change to Send invoice;{NN}{NN}{TO}{VB}{NN}
event;always;{RB}
event;always;{RB}
event;no;{DT}
event;status change to Check WMO archive;{NN}{NN}{TO}{VB}{NNP}{NN}
event;status change to Receive recommendation;{NN}{NN}{TO}{VB}{NN}
event;status change to Assess need for house visit and medical advice;{NN}{NN}{TO}{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
event;the end;{DT}{NN}
event;status change to Execute order;{NN}{NN}{TO}{VB}{NN}
event;status change to Send decision to customer;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
event;requestor known;{NN}{VBN}
event;status change to Record decision;{NN}{NN}{TO}{NNP}{NN}
event;with PGB;{IN}{NN}
event;status change to PGB yes or no;{NN}{NN}{TO}{NNP}{UH}{CC}{DT}
event;help with the house hold;{NN}{IN}{DT}{NN}{NN}
event;status change to;{NN}{NN}{TO}
event;status change to Record request;{NN}{NN}{TO}{NNP}{NN}
event;status change to Carry out house visit;{NN}{NN}{TO}{VB}{RP}{NN}{NN}
event;no house visit and no medical advice needed;{DT}{NN}{NN}{CC}{DT}{JJ}{NN}{VBN}
event;yes PGB;{RB}{NN}
event;yes;{RB}
event;status change to Start perform case specific tasks;{NN}{NN}{TO}{NNP}{VB}{NN}{JJ}{NNS}
event;status change to Perform fitting;{NN}{NN}{TO}{VB}{JJ}
event;status change to Create file;{NN}{NN}{TO}{VB}{NN}
event;status change to;{NN}{NN}{TO}
event;no PGB;{DT}{NN}
event;house visit needed and medical advice needed;{NN}{NN}{VBN}{CC}{JJ}{NN}{VBN}
