b4f3494672606947efe6fc9c0bbe99d2;Fig.67: WABO2 YAWL model for MunI
function;Refuse permit;{VB}{NN}
function;Record request in system;{VB}{NN}{IN}{NN}
function;Publish notice request;{VB}{NN}{NN}
function;Notify advisors;{VB}{NNS}
function;Test admissibility;{NN}{NN}
function;Sign decision;{NN}{NN}
function;Collect admissibility tests;{VB}{NN}{NNS}
function;Send procedure confirmation;{VB}{NN}{NN}
function;Archive final decision;{NNP}{JJ}{NN}
function;Waiting for info;{VBG}{IN}{NN}
function;Publish negative decision;{VB}{JJ}{NN}
function;Assign investigating officer;{VB}{VBG}{NN}
function;Ask adjustment of request;{VB}{NN}{IN}{NN}
function;Ask additional info;{VB}{JJ}{NN}
function;Archive decision;{NNP}{NN}
function;Test adm wealth;{NN}{NN}{NN}
function;Publish final decision;{VB}{JJ}{NN}
function;Applicant decides to reconsider application;{NN}{VBZ}{TO}{VB}{NN}
function;Forward to appropriate authority;{RB}{TO}{JJ}{NN}
function;Publish decision;{VB}{NN}
function;Ask VVGB;{VB}{NNP}
function;Check completeness;{VB}{NN}
function;Register;{NNP}
function;Process result;{VB}{NN}
function;Prepare concept decision;{VB}{NN}{NN}
function;Conclude decision;{VB}{NN}
function;Waiting for VVGB;{VBG}{IN}{NN}
function;Send final decision;{VB}{JJ}{NN}
function;Send decision;{VB}{NN}
function;Test adm architecture advisor;{NN}{NN}{NN}{NN}
function;Check for contradictions;{VB}{IN}{NNS}
function;Right authority;{RB}{NN}
function;Fill in e-form;{VB}{IN}{NN}
function;Send negative decision;{VB}{JJ}{NN}
function;Sign final decision;{NN}{JJ}{NN}
function;Format intention to refuse;{NN}{NN}{TO}{VB}
function;Receive request via mail;{VB}{NN}{IN}{NN}
function;Test adm urban planning;{NN}{NN}{JJ}{NN}
function;Send acknowledgment;{VB}{NN}
function;Waiting for comments;{VBG}{IN}{NNS}
function;Hold hearing;{VB}{NN}
function;Determine procedure period;{NN}{NN}{NN}
function;Positive advice;{JJ}{NN}
function;VVGB required;{NN}{VBD}
function;Informally check completeness;{RB}{VB}{NN}
function;Hearing requested;{NN}{VBD}
function;Archive negative decision;{NNP}{JJ}{NN}
function;Test adm fire department;{NN}{NN}{NN}{NN}
event;Receive VVGB;{VB}{NN}
event;no;{DT}
event;Receive requested info;{VB}{VBN}{NN}
event;VVGB time expired;{NNP}{NN}{VBD}
event;no;{DT}
event;Time for info expired;{NNP}{IN}{NN}{VBD}
event;no;{DT}
event;Receive advice;{VB}{NN}
event;complete;{JJ}
event;End case;{NNP}{NN}
event;Time for advice expired;{NNP}{IN}{NN}{VBD}
event;yes;{RB}
event;yes;{RB}
event;yes;{RB}
event;yes;{RB}
event;no;{DT}
event;Start case;{NNP}{NN}
event;yes;{RB}
event;not complete;{RB}{VB}
event;no;{DT}
