c17da9dc8849953fec03d0471e8fae3d;B.I.138.b_EPC for successive ans simultaneous requirements and capacity planning
function;Execute requirements planning;{VB}{NNS}{VBG}
function;Distribution of req. among planners according to numbers;{NN}{IN}{NN}{.}
function;Execute capacity planning per department;{VB}{NN}{NN}{IN}{NN}
function;Allocation of operations among planner according to workstation groups;{NN}{IN}{NNS}{IN}{NN}{VBG}{TO}{NN}{NNS}
function;Coordination of requirements and capacity planning;{NN}{IN}{NNS}{CC}{NN}{NN}
event;Requirements planning completed;{NNS}{VBG}{VBN}
event;Planning load allocated;{NNP}{NN}{VBN}
event;Planning load allocated;{NNP}{NN}{VBN}
event;Capacity planning completetd;{NN}{NN}{NN}
event;Primary requirements update;{JJ}{NNS}{VBP}
event;Capacity per department completed;{NN}{IN}{NN}{VBN}
