c4310e2dddc50b5bb0b8df366cad7c60;Transaction Processing
function;Process Deposit at Notice;{VB}{NNP}{IN}{NNP}
function;Netting Processing;{VBG}{NN}
function;Rollover;{NN}
function;Settlement;{NNP}
function;Give Notice on Deposit at Notice;{VB}{NNP}{IN}{NNP}{IN}{NNP}
event;Accrual/ deferral is to be performed;{NN}{:}{NN}{VBZ}{TO}{VB}{VBN}
event;Deposit at notice was chosen;{NNP}{IN}{NN}{VBD}{VBN}
event;Deposit at notice was edited;{NNP}{IN}{NN}{VBD}{VBN}
event;Key date valuation to be carried out;{NN}{NN}{NN}{TO}{VB}{VBN}{RP}
event;Cash management was updated;{NN}{NN}{VBD}{VBN}
event;Notice was given on deposit at notice;{NNP}{VBD}{VBN}{IN}{NN}{IN}{NN}
event;Notice to be given on deposit at notice;{NNP}{TO}{VB}{VBN}{IN}{NN}{IN}{NN}
event;Cash management was updated;{NN}{NN}{VBD}{VBN}
event;Transaction is to be rolled over;{NN}{VBZ}{TO}{VB}{VBN}{IN}
event;Transaction was rolled over;{NN}{VBD}{VBN}{IN}
event;Netting proposal to be edited;{VBG}{NN}{TO}{VB}{VBN}
event;Cash management was updated;{NN}{NN}{VBD}{VBN}
event;Cash flow is to be updated;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Netting proposal was accepted;{VBG}{NN}{VBD}{VBN}
