cb308c127960c39526cec18c855b14ee;Fig.60: WABO2 YAWL model for MunB
function;Check building regulation;{VB}{NN}{NN}
function;Test adm urban planning;{NN}{NN}{JJ}{NN}
function;Archive final decision;{NNP}{JJ}{NN}
function;Negative advice;{JJ}{NN}
function;Check for contradictions;{VB}{IN}{NNS}
function;Forward to appropriate authority;{RB}{TO}{JJ}{NN}
function;VVGB required;{NN}{VBD}
function;Test adm architecture advisor;{NN}{NN}{NN}{NN}
function;Check urban plan;{VB}{JJ}{NN}
function;Check fire safety;{VB}{NN}{NN}
function;Send final decision;{VB}{JJ}{NN}
function;Test admissibility;{NN}{NN}
function;Pieces complete;{NNP}{JJ}
function;Check completeness;{VB}{NN}
function;Ask additional info;{VB}{JJ}{NN}
function;Contact customer;{NN}{NN}
function;Inform customer;{VB}{NN}
function;Right authority;{RB}{NN}
function;Test adm wealth;{NN}{NN}{NN}
function;Test adm fire department;{NN}{NN}{NN}{NN}
function;Ask adjustment of request;{VB}{NN}{IN}{NN}
function;Sign final decision;{NN}{JJ}{NN}
function;Publish notice request;{VB}{NN}{NN}
function;Fill in e-form;{VB}{IN}{NN}
function;Ask for advice;{VB}{IN}{NN}
function;Leave out;{VB}{RP}
function;Waiting for VVGB;{VBG}{IN}{NN}
function;Receive request via mail;{VB}{NN}{IN}{NN}
function;Send procedure confirmation;{VB}{NN}{NN}
function;Process documents;{VB}{NNS}
function;Collect advice;{VB}{NN}
function;Ask VVGB;{VB}{NNP}
function;Check wealth;{VB}{NN}
function;Publish final decision;{VB}{JJ}{NN}
function;Prepare concept decision;{VB}{NN}{NN}
function;Register;{NNP}
function;Waiting for info;{VBG}{IN}{NN}
function;Record request in system;{VB}{NN}{IN}{NN}
event;no;{DT}
event;Receive VVGB;{VB}{NN}
event;VVGB time expired;{NNP}{NN}{VBD}
event;no;{DT}
event;Time for info expired;{NNP}{IN}{NN}{VBD}
event;yes;{RB}
event;not complete;{RB}{VB}
event;yes;{RB}
event;yes;{RB}
event;no;{DT}
event;no;{DT}
event;Start case;{NNP}{NN}
event;yes;{RB}
event;complete;{JJ}
event;End case;{NNP}{NN}
event;Receive requested info;{VB}{VBN}{NN}
