cf8a8ac1eec202af60ac13e22d74bfc4;Process Fixed-Term Deposit [TR-MM]
function;Closing Operations;{NN}{NNP}
function;Transaction Processing;{NN}{NN}
function;Accounting;{NN}
event;Accrual/ deferral flows were generated;{NN}{:}{NN}{NNS}{VBD}{VBN}
event;Accrual/ deferral is to be performed;{NN}{:}{NN}{VBZ}{TO}{VB}{VBN}
event;Valuation flows were generated;{NN}{NNS}{VBD}{VBN}
event;Transaction was posted;{NN}{VBD}{VBN}
event;Customer open items were generated;{NN}{JJ}{NNS}{VBD}{VBN}
event;Fixed-term deposit was chosen;{JJ}{NN}{VBD}{VBN}
event;Key date valuation to be carried out;{NN}{NN}{NN}{TO}{VB}{VBN}{RP}
event;Netting proposal was accepted;{VBG}{NN}{VBD}{VBN}
event;Transaction is to be rolled over;{NN}{VBZ}{TO}{VB}{VBN}{IN}
event;G/L posting was generated;{NN}{VBG}{VBD}{VBN}
event;Payment advice is sent;{NN}{NN}{VBZ}{VBN}
event;Payment medium transferred;{NN}{NN}{VBN}
event;Payment is transferred by EDI;{NN}{VBZ}{VBN}{IN}{NN}
