d61bc295d7adbeb2826590edf7449665;Closing Operations
function;Realized Gains/ Losses;{VBN}{NNS}{:}{NNS}
function;Key Date Valuation;{NN}{NN}{NN}
function;Accrual/ Deferral;{NN}{:}{NN}
function;Update Cash Flow;{NNP}{NN}
event;Realized gains/ losses to be determined;{VBN}{NNS}{:}{NNS}{TO}{VB}{VBN}
event;Transaction was posted;{NN}{VBD}{VBN}
event;Accrual/ deferral is to be performed;{NN}{:}{NN}{VBZ}{TO}{VB}{VBN}
event;Accrual/ deferral flows were generated;{NN}{:}{NN}{NNS}{VBD}{VBN}
event;Accrual/ deferral run was performed;{NN}{:}{JJ}{NN}{VBD}{VBN}
event;Cash flow is to be updated;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Cash flow was updated;{NN}{NN}{VBD}{VBN}
event;Flows from cash flow update were generated;{NNS}{IN}{NN}{NN}{VBP}{VBD}{VBN}
event;Key date valuation to be carried out;{NN}{NN}{NN}{TO}{VB}{VBN}{RP}
event;List of realized gains/ losses was output;{NN}{IN}{VBN}{NNS}{:}{NNS}{VBD}{NN}
event;Flows from realized gains/ losses were generated;{NNS}{IN}{VBN}{NNS}{:}{NNS}{VBD}{VBN}
event;Valuation flows were generated;{NN}{NNS}{VBD}{VBN}
event;Key date valuation carried out;{NN}{NN}{NN}{VBD}{RP}
