d9675bb25561fc5cddee3cd91fc1b2f8;Fig.59: WABO2 YAWL model for MunA
function;Check environmental aspects;{VB}{JJ}{NNS}
function;Send final decision;{VB}{JJ}{NN}
function;Inform customer;{VB}{NN}
function;VVGB required;{NN}{VBD}
function;Conclude decision;{VB}{NN}
function;Assign investigating officer;{VB}{VBG}{NN}
function;Fill in e-form;{VB}{IN}{NN}
function;Sign final decision;{NN}{JJ}{NN}
function;Check urban plan;{VB}{JJ}{NN}
function;Check building regulation;{VB}{NN}{NN}
function;Publish decision;{VB}{NN}
function;Check concept decision;{VB}{NN}{NN}
function;Ask adjustment of request;{VB}{NN}{IN}{NN}
function;Test adm environment;{NN}{NN}{NN}
function;Test adm architecture advisor;{NN}{NN}{NN}{NN}
function;Leave out;{VB}{RP}
function;Archive final decision;{NNP}{JJ}{NN}
function;Hearing requested;{NN}{VBD}
function;Publish notice request;{VB}{NN}{NN}
function;Ask additional info;{VB}{JJ}{NN}
function;Forward to appropriate authority;{RB}{TO}{JJ}{NN}
function;Hold hearing;{VB}{NN}
function;Collect admissibility tests;{VB}{NN}{NNS}
function;Informally check completeness;{RB}{VB}{NN}
function;Test adm wealth;{NN}{NN}{NN}
function;Contact customer;{NN}{NN}
function;Applicant decides to reconsider application;{NN}{VBZ}{TO}{VB}{NN}
function;Test adm fire department;{NN}{NN}{NN}{NN}
function;Right authority;{RB}{NN}
function;Receive request via mail;{VB}{NN}{IN}{NN}
function;Check wealth;{VB}{NN}
function;Pieces complete;{NNP}{JJ}
function;Print application;{VB}{NN}
function;Waiting for comments;{VBG}{IN}{NNS}
function;Negative advice;{JJ}{NN}
function;Ask for advice;{VB}{IN}{NN}
function;Record request in system;{VB}{NN}{IN}{NN}
function;Prepare concept decision;{VB}{NN}{NN}
function;Waiting for info;{VBG}{IN}{NN}
function;Determine procedure period;{NN}{NN}{NN}
function;Test admissibility;{NN}{NN}
function;Waiting for VVGB;{VBG}{IN}{NN}
function;Check fire safety;{VB}{NN}{NN}
function;Test adm urban planning;{NN}{NN}{JJ}{NN}
function;Send procedure confirmation;{VB}{NN}{NN}
function;Publish final decision;{VB}{JJ}{NN}
function;Process result;{VB}{NN}
function;Check for contradiction;{VB}{IN}{NN}
function;Sign decision;{NN}{NN}
function;Check completeness;{VB}{NN}
function;Send decision;{VB}{NN}
function;Archive;{NNP}
function;Ask VVGB;{VB}{NNP}
event;yes;{RB}
event;yes;{RB}
event;no;{DT}
event;no;{DT}
event;yes;{RB}
event;yes;{RB}
event;yes;{RB}
event;no;{DT}
event;Time for info expired;{NNP}{IN}{NN}{VBD}
event;Receive advice;{VB}{NN}
event;Time for advice expired;{NNP}{IN}{NN}{VBD}
event;Receive VVGB;{VB}{NN}
event;no;{DT}
event;not complete;{RB}{VB}
event;Receive requested info;{VB}{VBN}{NN}
event;Start case;{NNP}{NN}
event;complete;{JJ}
event;VVGB time expired;{NNP}{NN}{VBD}
event;no;{DT}
event;End case;{NNP}{NN}
