dc2701521d760cb23694689365a31b73;Fig.37: GBA3 YAWL model MunI
function;Copy extract;{VB}{NN}
function;Waiting for payment;{VBG}{IN}{NN}
function;Inform customer via phone or mail;{VB}{NN}{IN}{NN}{CC}{NN}
function;Determine fees;{NN}{NNS}
function;Process payment;{VB}{NN}
function;No payment;{DT}{NN}
function;Decide admissible;{VB}{JJ}
function;Produce extract and sign;{VB}{NN}{CC}{NN}
function;Archive;{NNP}
function;Receive payment;{VB}{NN}
function;Register request;{NNP}{NN}
function;Determine whether requester is entitled;{VB}{IN}{NN}{VBZ}{VBN}
function;Send payment request;{VB}{NN}{NN}
function;Send_extract;{NN}
function;Determine if copy of ID is present;{VB}{IN}{NN}{IN}{NNP}{VBZ}{JJ}
function;Send mail to appropriate department;{VB}{NN}{TO}{JJ}{NN}
event;Free;{NNP}
event;yes;{RB}
event;no;{DT}
event;Process end;{VB}{NN}
event;Process start;{VB}{NN}
