de7e939d154510d9355b0da104082309;Personnel Development Planning
function;Individual Personnel Development Planning;{JJ}{NNP}
function;Monitoring of Personnel Development Planning;{NN}{IN}{NNP}
function;Career Planning;{NNP}
function;Design of Enterprise-Wide Personnel Development System;{NN}{IN}{NNP}
event;Career plan is transmitted to employee;{NNP}{NN}{VBZ}{VBN}{TO}{NN}
event;Need for career planning exists;{VBN}{IN}{NN}{NN}{VBZ}
event;Need for individual personnel development planning exists;{VBN}{IN}{JJ}{NNS}{NN}{NN}{VBZ}
event;Additional implementation actions are required;{JJ}{NN}{NNS}{VBP}{VBN}
event;Employee career plan must be corrected;{NN}{NN}{NN}{MD}{VB}{VBN}
event;Individual development plan must be corrected;{JJ}{NN}{NN}{MD}{VB}{VBN}
event;Employee career plan must be corrected;{NN}{NN}{NN}{MD}{VB}{VBN}
event;Individual development plan is adopted;{JJ}{NN}{NN}{VBZ}{VBN}
event;Individual development plan is transmitted to employee;{JJ}{NN}{NN}{VBZ}{VBN}{TO}{NN}
event;Need for position formation exists;{VBN}{IN}{NN}{NN}{VBZ}
event;Need for personnel development system exists;{VBN}{IN}{NNS}{NN}{NN}{VBZ}
event;Employee career plan is deactivated;{NN}{NN}{NN}{VBZ}{VBN}
event;Need for monitoring of career planning exists;{VBN}{IN}{NN}{IN}{NN}{NN}{VBZ}
event;Individual development plan is deactivated;{JJ}{NN}{NN}{VBZ}{VBN}
event;Employee career plan is adopted;{NN}{NN}{NN}{VBZ}{VBN}
event;Individual development plan must be corrected;{JJ}{NN}{NN}{MD}{VB}{VBN}
event;Need for monitoring of individual personnel development planning exists;{VBN}{IN}{NN}{IN}{JJ}{NNS}{NN}{NN}{VBZ}
event;Personnel development system must be corrected;{NNS}{NN}{NN}{MD}{VB}{VBN}
event;Personnel development system is implemented;{NNS}{NN}{NN}{VBZ}{VBN}
event;Need for monitoring of staff planning exists;{VBN}{IN}{NN}{IN}{NN}{NN}{VBZ}
