e04844dc7a507719a8d47a88bd2e917b;Billing
function;Pro Forma Invoice Processing;{FW}{FW}{FW}{NN}
function;Billing Document Cancellation;{NN}{NNP}
function;Processing Billing Documents;{NNP}{NNS}
event;Pro forma invoice is created;{FW}{FW}{NN}{VBZ}{VBN}
event;Billing document to be cancelled;{NN}{NN}{TO}{VB}{VBN}
event;Delivery is relevant for billing;{NN}{VBZ}{JJ}{IN}{NN}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Billing document/ items are cancelled;{NN}{NN}{:}{NNS}{VBP}{VBN}
event;Pro forma invoice for order/ delivery to be created;{FW}{FW}{NN}{IN}{NN}{:}{NN}{TO}{VB}{VBN}
event;Bil. doc. is released for billing;{NNP}{.}
