e238fbe389c33f0fd03ba0a2a62b8eb2;Fig.35: GBA3 YAWL model for MunG
function;Free;{NNP}
function;Determine fees;{NN}{NNS}
function;Determine if copy of ID is present;{VB}{IN}{NN}{IN}{NNP}{VBZ}{JJ}
function;Determine whether requester is entitled;{VB}{IN}{NN}{VBZ}{VBN}
function;Archive;{NNP}
function;Send payment request;{VB}{NN}{NN}
function;Receive payment;{VB}{NN}
function;go to the end;{VB}{TO}{DT}{NN}
function;Register request;{NNP}{NN}
function;No payment;{DT}{NN}
function;Copy extract;{VB}{NN}
function;Process payment;{VB}{NN}
function;Inform customer via phone or mail;{VB}{NN}{IN}{NN}{CC}{NN}
function;Send extract;{VB}{NN}
function;Send mail to appropriate department;{VB}{NN}{TO}{JJ}{NN}
function;Decide admissible;{VB}{JJ}
function;Produce extract and sign;{VB}{NN}{CC}{NN}
event;status change to Send extract;{NN}{NN}{TO}{VB}{NN}
event;Status change to Receive payment;{NN}{NN}{TO}{VB}{NN}
event;status change to No payment;{NN}{NN}{TO}{DT}{NN}
event;yes;{RB}
event;no;{DT}
event;status change to Decide admissible;{NN}{NN}{TO}{VB}{JJ}
event;status change to Send mail to appropriate department;{NN}{NN}{TO}{VB}{NN}{TO}{JJ}{NN}
event;status change to Determine if copy of ID is present;{NN}{NN}{TO}{VB}{IN}{NN}{IN}{NNP}{VBZ}{JJ}
event;no;{DT}
event;status change to Process payment;{NN}{NN}{TO}{VB}{NN}
event;status change to Determine fees;{NN}{NN}{TO}{VB}{NNS}
event;status change to Free?;{NN}{NN}{TO}{NNP}{.}
event;status change to Register request;{NN}{NN}{TO}{NNP}{NN}
event;status change to Copy extract;{NN}{NN}{TO}{VB}{NN}
event;status change to Archive;{NN}{NN}{TO}{NNP}
event;yes;{RB}
event;the end;{DT}{NN}
event;status change to Determine whether requester is entitled;{NN}{NN}{TO}{VB}{IN}{NN}{VBZ}{VBN}
