e303d1e1e7dcddde6804bb843957c6d3;B.I.138.b_EPC for successive ans simultaneous requirements and capacity planning
function;Allocation of operations among planner according to workstation groups;{NN}{IN}{NNS}{IN}{NN}{VBG}{TO}{NN}{NNS}
function;Execute capacity planning per department;{VB}{NN}{NN}{IN}{NN}
function;Coordination of requirements and capacity planning;{NN}{IN}{NNS}{CC}{NN}{NN}
function;Execute requirements planning;{VB}{NNS}{VBG}
function;Distribution of req. among planners according to numbers;{NN}{IN}{NN}{.}
event;Planning load allocated;{NNP}{NN}{VBN}
event;Requirements planning completed;{NNS}{VBG}{VBN}
event;Capacity per department completed;{NN}{IN}{NN}{VBN}
event;Dispositionsvorrat zugeordnet;{NN}{NN}
event;Primary requirements update;{JJ}{NNS}{VBP}
event;Capacity planning completetd;{NN}{NN}{NN}
event;Planning load allocated;{NNP}{NN}{VBN}
