e5c6f7e1d631303ca7ac810b9b0ef189;Fig.30: GBA3 YAWL model for MunB
function;Receive payment;{VB}{NN}
function;Determine fees;{NN}{NNS}
function;Decide admissible;{VB}{JJ}
function;Process payment;{VB}{NN}
function;Determine whether requester is entitled;{VB}{IN}{NN}{VBZ}{VBN}
function;Send extract;{VB}{NN}
function;Waiting for payment;{VBG}{IN}{NN}
function;Free;{NNP}
function;No payment;{DT}{NN}
function;Send payment request;{VB}{NN}{NN}
function;Receive request;{VB}{NN}
function;Inform customer via phone or mail;{VB}{NN}{IN}{NN}{CC}{NN}
function;Produce extract and sign;{VB}{NN}{CC}{NN}
function;Process continue;{VB}{VB}
function;Archive;{NNP}
function;Send mail to appropriate department;{VB}{NN}{TO}{JJ}{NN}
function;Determine if copy of ID is present;{VB}{IN}{NN}{IN}{NNP}{VBZ}{JJ}
event;Free;{NNP}
event;status change to Send mail to appropriate department;{NN}{NN}{TO}{VB}{NN}{TO}{JJ}{NN}
event;status change to Determine whether requester is entitled;{NN}{NN}{TO}{VB}{IN}{NN}{VBZ}{VBN}
event;status change to Send payment request;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Receive request;{NN}{NN}{TO}{VB}{NN}
event;yes;{RB}
event;status change to Send extract;{NN}{NN}{TO}{VB}{NN}
event;no;{DT}
event;status change to Process payment;{NN}{NN}{TO}{VB}{NN}
event;status change to Archive;{NN}{NN}{TO}{NNP}
event;not free;{RB}{JJ}
event;the end;{DT}{NN}
event;status change to Decide admissible;{NN}{NN}{TO}{VB}{JJ}
event;status change to Produce extract and sign;{NN}{NN}{TO}{VB}{NN}{CC}{NN}
event;status change to No payment;{NN}{NN}{TO}{DT}{NN}
event;status change to Receive payment;{NN}{NN}{TO}{VB}{NN}
event;status change to Determine if copy of ID is present;{NN}{NN}{TO}{VB}{IN}{NN}{IN}{NNP}{VBZ}{JJ}
event;status change to Free?;{NN}{NN}{TO}{NNP}{.}
