e88dac757b36fedf786605580c959ce3;Fig.79: WOZ YAWL model for MunA
function;Create file;{VB}{NN}
function;Handle administrative;{VB}{JJ}
function;Hearing requested;{NN}{VBD}
function;Default positive response;{NNP}{JJ}{NN}
function;Make statement OZB-change;{VB}{NN}{NN}
function;Perform admissibility test;{VB}{NN}{NN}
function;Send results;{VB}{NNS}
function;Need to inspect site;{VBN}{TO}{VB}{NN}
function;Register;{NNP}
function;Inspect residence;{VB}{NN}
function;Process eventual changes;{VB}{JJ}{NNS}
function;Sign form;{NN}{NN}
function;Send notification letter;{VB}{NN}{NN}
function;Timeout;{NNP}
function;Hold hearing;{VB}{NN}
function;Handle Complaint;{VB}{NNP}
function;Handle complaint municipality;{VB}{NN}{NN}
function;Send acknowledgment;{VB}{NN}
function;Send to task office;{VB}{TO}{NN}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Fill in form;{VB}{IN}{NN}
function;Send application;{VB}{NN}
function;Prepare draft decision;{VB}{NN}{NN}
function;Possible to do assessment;{JJ}{TO}{VB}{NN}
function;Prepare response to appeal;{VB}{NN}{TO}{VB}
function;Record objection;{VB}{NN}
function;Perform admissibility test municipality;{VB}{NN}{NN}{NN}
event;status change to Send acknowledgment;{NN}{NN}{TO}{VB}{NN}
event;yes;{RB}
event;status change to Handle administrative;{NN}{NN}{TO}{VB}{JJ}
event;status change to Prepare response to appeal;{NN}{NN}{TO}{VB}{NN}{TO}{VB}
event;status change to Handle Complaint;{NN}{NN}{TO}{VB}{NNP}
event;status change to Hold hearing;{NN}{NN}{TO}{VB}{NN}
event;status change to Handle complaint municipality;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Hearing requested;{NN}{NN}{TO}{NN}{VBD}
event;status change to Sign form;{NN}{NN}{TO}{VB}{NN}
event;status change Send application;{NN}{NN}{VB}{NN}
event;status change to Inspect residence;{NN}{NN}{TO}{VB}{NN}
event;status change to Process eventual changes;{NN}{NN}{TO}{VB}{JJ}{NNS}
event;status change to Perform admissibility test municipality;{NN}{NN}{TO}{VB}{JJ}{NN}{NN}
event;status change to Make statement OZB-change;{NN}{NN}{TO}{VB}{NN}{NN}
event;status change to Prepare draft decision;{NN}{NN}{TO}{VB}{NN}{NN}
event;the end;{DT}{NN}
event;status change to Need to inspect site;{NN}{NN}{TO}{VBN}{TO}{VB}{NN}
event;status change to Record objection;{NN}{NN}{TO}{NNP}{NN}
event;status change to Send notification letter;{NN}{NN}{TO}{VB}{NN}{NN}
event;Status change to Perform admissibility test;{NN}{NN}{TO}{VB}{JJ}{NN}
event;status change to Default positive response;{NN}{NN}{TO}{NNP}{JJ}{NN}
event;Status change to Fill in form;{NN}{NN}{TO}{VB}{IN}{NN}
event;status change to Send decision to customer;{NN}{NN}{TO}{VB}{NN}{TO}{NN}
event;status change to Timeout;{NN}{NN}{TO}{NNP}
event;status change to Register;{NN}{NN}{TO}{NNP}
event;status change to Possible to do assessment;{NN}{NN}{TO}{JJ}{TO}{VB}{NN}
event;status change to Send results;{NN}{NN}{TO}{VB}{NNS}
event;no;{DT}
