ecba05aa4638ab497ac7ae0187cb536e;Fig.35: GBA3 YAWL model for MunG
function;Determine whether requester is entitled;{VB}{IN}{NN}{VBZ}{VBN}
function;Waiting for payment;{VBG}{IN}{NN}
function;No payment;{DT}{NN}
function;Decide admissible;{VB}{JJ}
function;Inform customer via phone or mail;{VB}{NN}{IN}{NN}{CC}{NN}
function;Send mail to appropriate department;{VB}{NN}{TO}{JJ}{NN}
function;Copy extract;{VB}{NN}
function;Receive payment;{VB}{NN}
function;Determine if copy of ID is present;{VB}{IN}{NN}{IN}{NNP}{VBZ}{JJ}
function;Register request;{NNP}{NN}
function;Determine fees;{NN}{NNS}
function;Process payment;{VB}{NN}
function;Produce extract and sign;{VB}{NN}{CC}{NN}
function;Send extract;{VB}{NN}
function;Send payment request;{VB}{NN}{NN}
function;Archive;{NNP}
event;yes;{RB}
event;no;{DT}
event;Process start;{VB}{NN}
event;Process end;{VB}{NN}
event;Free;{NNP}
