f48ef49653744bd1aa52ac580f7468d3;Periodic Processing
function;Rollup;{NN}
function;Assessment;{NNP}
function;Distribution;{NN}
function;Balance Carried Forward [SL - Special Ledger];{NN}{VBD}{RB}{-LRB-}{SYM}{:}{JJ}{NNP}{-RRB-}
function;Currency Translation;{NNP}{NN}
event;Rollup was carried out;{NN}{VBD}{VBN}{RP}
event;Data transferred from external systems;{NNS}{VBN}{IN}{JJ}{NNS}
event;Document was transferred to FI-Special Ledger;{NNP}{VBD}{VBN}{TO}{JJ}{NNP}
event;Planned assessment to be performed;{NNP}{NN}{TO}{VB}{VBN}
event;Assessment was carried out;{NNP}{VBD}{VBN}{RP}
event;Act. distri- bution is to be carried out;{NNP}{.}
event;Pl. distri- bution is to be carried out;{NN}{.}
event;Distribution was carried out;{NN}{VBD}{VBN}{RP}
event;Translation is to be carried out for company code;{NN}{VBZ}{TO}{VB}{VBN}{RP}{IN}{NN}{NN}
event;Translation is to be carried out for company;{NN}{VBZ}{TO}{VB}{VBN}{RP}{IN}{NN}
event;Translation was carried out;{NN}{VBD}{VBN}{RP}
event;Balances are to be carried forward;{NNS}{VBP}{TO}{VB}{VBN}{RB}
event;Data is to be summarized;{NNS}{VBZ}{TO}{VB}{VBN}
event;Balances were carried forward;{NNS}{VBD}{VBN}{RB}
event;Actual assessment is to be made;{JJ}{NN}{VBZ}{TO}{VB}{VBN}
