f67a42f60f588a58d1b190adbe8b5de1;Fig.24: GBA2 YAWL model for MunF
function;Ask customer to pay;{VB}{NN}{TO}{VB}
function;Determine whether requester is entitled;{VB}{IN}{NN}{VBZ}{VBN}
function;Call coupon holder;{VB}{NN}{NN}
function;Produce extract and sign;{VB}{NN}{CC}{NN}
function;Free;{NNP}
function;Ask customer what product he is requesting;{VB}{NN}{WDT}{NN}{PRP}{VBZ}{VBG}
function;Determine fees;{NN}{NNS}
function;Process payment;{VB}{NN}
function;No payment;{DT}{NN}
function;Ask customer to bring ID;{VB}{NN}{TO}{VB}{NNP}
function;Give GBA extract;{VB}{NNP}{NN}
function;Determine whether proof of identity is present;{VB}{IN}{NN}{IN}{NN}{VBZ}{JJ}
function;Receive payment;{VB}{NN}
function;go to the end;{VB}{TO}{DT}{NN}
function;Give receipt;{VB}{NN}
function;Give coupon;{VB}{NN}
event;status change to Process payment;{NN}{NN}{TO}{VB}{NN}
event;status change to Give receipt;{NN}{NN}{TO}{VB}{NN}
event;No ID present;{DT}{NN}{JJ}
event;status change to Receive payment;{NN}{NN}{TO}{VB}{NN}
event;status change to Ask customer what product he is requesting;{NN}{NN}{TO}{VB}{NN}{WDT}{NN}{PRP}{VBZ}{VBG}
event;status change to Determine fees;{NN}{NN}{TO}{VB}{NNS}
event;status change to Give coupon;{NN}{NN}{TO}{VB}{NN}
event;status change to Free;{NN}{NN}{TO}{NNP}
event;the end;{DT}{NN}
event;status change to Give GBA extract;{NN}{NN}{TO}{VB}{NNP}{NN}
event;status change to Determine whether proof of identity is present;{NN}{NN}{TO}{VB}{IN}{NN}{IN}{NN}{VBZ}{JJ}
event;status change to Call coupon holder;{NN}{NN}{TO}{VB}{NN}{NN}
event;entitled;{VBN}
event;not free;{RB}{JJ}
event;status change to No payment;{NN}{NN}{TO}{DT}{NN}
event;not entitled;{RB}{VBN}
event;ID present;{NN}{JJ}
