f9a28789e3bb4cda8398069257eec938;Fig.75: WMO YAWL model for MunG
function;Plan examination with customer;{NNP}{NN}{IN}{NN}
function;Send order;{VB}{NN}
function;Request a fitting;{VB}{DT}{JJ}
function;Send invoice;{VB}{NN}
function;Determine offer;{NN}{NN}
function;Contact customer;{NN}{NN}
function;Handle Payment;{VB}{NN}
function;Send recommendation to WMO;{VB}{NN}{TO}{NNP}
function;Enter in own backlog;{VB}{IN}{JJ}{NN}
function;Store as PDF;{NN}{IN}{NN}
function;Send decision to customer;{VB}{NN}{TO}{NN}
function;Receive WMO request via mail;{VB}{NNP}{NN}{IN}{NN}
function;Prepare requirements and first decision;{VB}{NNS}{CC}{JJ}{NN}
function;Transfer amount to CAK;{NN}{NN}{TO}{NN}
function;Send e-mail to WMO;{VB}{NN}{TO}{NNP}
function;Check requirements;{VB}{NNS}
function;Perform fitting;{VB}{JJ}
function;Assess need for house visit and medical advice;{VB}{NN}{IN}{NN}{NN}{CC}{JJ}{NN}
function;Registration;{NN}
function;Compromise on the arrangement;{NN}{IN}{DT}{NN}
function;Determine care provider to approach;{VB}{NN}{NN}{TO}{NN}
function;Estimate costs;{NNP}{NNS}
function;Handle request;{VB}{NN}
function;Case-specific tasks complete;{JJ}{NNS}{JJ}
function;Send confirmation of receipt;{VB}{NN}{IN}{NN}
function;Hold consultative meeting with customer;{VB}{JJ}{NN}{IN}{NN}
function;Invite offerings;{JJ}{NNS}
function;Formulate indicative report;{VB}{JJ}{NN}
function;Mail recommendation to WMO advisor;{NNP}{NN}{TO}{NNP}{NN}
function;Scan recommendation;{VB}{NN}
function;Carry out house visit;{VB}{RP}{NN}{NN}
function;Record request in the system;{VB}{NN}{IN}{DT}{NN}
function;Retrace checklist;{VB}{NN}
function;Fill in form under supervision;{VB}{IN}{NN}{IN}{NN}
function;Formulate decision;{VB}{NN}
function;Make offer;{VB}{NN}
function;Look for alternative living space;{VB}{IN}{JJ}{NN}{NN}
function;Determine amount;{NN}{NN}
function;Start perform case specific tasks;{NNP}{VB}{NN}{JJ}{NNS}
function;Execute order;{VB}{NN}
function;Redirect to desk;{VB}{TO}{NN}
function;Fill in e-form;{VB}{IN}{NN}
function;Examine customer;{VB}{NN}
function;Proofread report;{NNP}{NN}
function;Receive recommendation;{VB}{NN}
function;Request cost estimation for modification;{NN}{NN}{NN}{IN}{NN}
event;no PGB;{DT}{NN}
event;house visit needed;{NN}{NN}{VBD}
event;no PGB and no home modifications;{DT}{NN}{CC}{DT}{NN}{NNS}
event;no PGB and home modifications;{DT}{NN}{CC}{NN}{NNS}
event;house visit needed but no medical advice;{NN}{NN}{VBN}{CC}{DT}{JJ}{NN}
event;Start case options;{NNP}{NN}{NNS}
event;with PGB;{IN}{NN}
event;only if building advice needed;{RB}{IN}{NN}{NN}{VBD}
event;transportation facilities;{NN}{NNS}
event;always;{RB}
event;other;{JJ}
event;help with the household;{NN}{IN}{DT}{NN}
event;other;{JJ}
event;Process end;{VB}{NN}
event;no house visit and no medical advice needed;{DT}{NN}{NN}{CC}{DT}{JJ}{NN}{VBN}
event;always;{RB}
event;house visit needed and medical advice needed;{NN}{NN}{VBN}{CC}{JJ}{NN}{VBN}
event;no house visit but medical advice needed;{DT}{NN}{NN}{CC}{JJ}{NN}{VBN}
event;large modifications to house;{JJ}{NNS}{TO}{NN}
event;simple household assistance;{JJ}{NN}{NN}
