fdff69bb819277e57583a3665c42d2b4;Shipping
function;Packing Processing;{NN}{NN}
function;Goods Issue for Consignment Fill-Up;{NNP}{IN}{NNP}
function;Delivery for Consignment Fill-up;{NN}{IN}{NNP}{NN}
function;Picking (Lean WM);{VBG}{-LRB-}{VB}{NN}{-RRB-}
function;Delivery for Consignment Pickup;{NN}{IN}{NNP}
function;Delivery for Consignment Issue;{NN}{IN}{NNP}
function;Goods Receipt for Consignment Pick-Up;{NNP}{IN}{NNP}{NN}
function;Goods Issue for Consignment Issue;{NNP}{IN}{NNP}
event;Material withdrawal is to be posted;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Material is issued;{NN}{VBZ}{VBN}
event;Inward material movement to be posted;{RB}{NN}{NN}{TO}{VB}{VBN}
event;Shipping unit is to be created;{VBG}{NN}{VBZ}{TO}{VB}{VBN}
event;Delivery is not relevant for billing;{NN}{VBZ}{RB}{JJ}{IN}{NN}
event;Shipping unit is created;{VBG}{NN}{VBZ}{VBN}
event;Delivery is to be created;{NN}{VBZ}{TO}{VB}{VBN}
event;Goods Receipt Posted;{NNP}{VBD}
event;Material has been picked;{NN}{VBZ}{VBN}{VBN}
event;Delivery is relevant for shipment;{NN}{VBZ}{JJ}{IN}{NN}
event;Inspection before goods issue is to be carried out;{NNP}{IN}{NNS}{NN}{VBZ}{TO}{VB}{VBN}{RP}
event;Delivery is created;{NN}{VBZ}{VBN}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Material withdrawal is to be posted;{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Certificate has to be created for delivery item;{NN}{VBZ}{TO}{VB}{VBN}{IN}{NN}{NN}
event;Picking needs to be carried out;{VBG}{NNS}{TO}{VB}{VBN}{RP}
event;Delivery is relevant for billing;{NN}{VBZ}{JJ}{IN}{NN}
event;Delivery is relevant for shipment;{NN}{VBZ}{JJ}{IN}{NN}
event;Delivery is to be created;{NN}{VBZ}{TO}{VB}{VBN}
event;Delivery is not relevant for billing;{NN}{VBZ}{RB}{JJ}{IN}{NN}
event;Goods receipt/ issue slip is printed;{NNP}{NN}{:}{NN}{NN}{VBZ}{VBN}
event;Goods issue is posted;{NNP}{NN}{VBZ}{VBN}
event;Transfer order created manually;{NN}{NN}{VBN}{RB}
event;Transfer order created automatically;{NN}{NN}{VBN}{RB}
event;Delivery is to be created;{NN}{VBZ}{TO}{VB}{VBN}
